model,seed,number_of_reconfigurations,number_of_scaling_events,total_energy_wh,average_sec,qos_violation_rate
lstm_history,seed_1024,14,6,121.90513864159584,0.00739817186728588,0.009708737864077669
lstm_history,seed_123,18,6,133.9991319924593,0.010257140599286726,0.0013869625520110957
lstm_history,seed_42,38,10,122.10855622589588,0.007409304338274797,0.008321775312066574
lstm_history,seed_456,16,0,125.7436438202858,0.007640882364529731,0.0013869625520110957
lstm_history,seed_789,14,7,122.71117965877056,0.007488673808225532,0.009708737864077669
mlp_hybrid,seed_1024,12,23,124.86961351335049,0.007603070846256258,0.0013869625520110957
mlp_hybrid,seed_123,14,11,122.32075269520283,0.007559835878827259,0.0013869625520110957
mlp_hybrid,seed_42,18,4,122.93439300358295,0.007603048196533225,0.0027739251040221915
mlp_hybrid,seed_456,17,7,120.79000866413116,0.0073498766556066505,0.0013869625520110957
mlp_hybrid,seed_789,21,8,121.97849670052528,0.00728384341782047,0.009708737864077669
