group,config,seed,run_dir,eval_csv,steps,switch_dpdk_to_oai,switch_oai_to_dpdk,scale_up,scale_down,cooldown_blocked,avg_sec,total_power,violation_rate,avg_qos,qos_threshold
B2_top2_seeds,lstm_history,seed_1024,../experiments/results/B2_top2_seeds/lstm_history/seed_1024,../experiments/results/B2_top2_seeds/lstm_history/seed_1024/eval/evaluation_results_MlpLstmPolicy_20260225-200307.csv,721,7,7,3,3,5,0.00739817186728588,487.62055456638336,0.009708737864077669,0.9558351502835172,0.9
B2_top2_seeds,lstm_history,seed_123,../experiments/results/B2_top2_seeds/lstm_history/seed_123,../experiments/results/B2_top2_seeds/lstm_history/seed_123/eval/evaluation_results_MlpLstmPolicy_20260225-200316.csv,721,9,9,1,5,27,0.010257140599286726,535.9965279698372,0.0013869625520110957,0.9656660266623583,0.9
B2_top2_seeds,lstm_history,seed_42,../experiments/results/B2_top2_seeds/lstm_history/seed_42,../experiments/results/B2_top2_seeds/lstm_history/seed_42/eval/evaluation_results_MlpLstmPolicy_20260225-200326.csv,721,19,19,5,5,54,0.007409304338274797,488.4342249035835,0.008321775312066574,0.9541894704227474,0.9
B2_top2_seeds,lstm_history,seed_456,../experiments/results/B2_top2_seeds/lstm_history/seed_456,../experiments/results/B2_top2_seeds/lstm_history/seed_456/eval/evaluation_results_MlpLstmPolicy_20260225-200335.csv,721,8,8,0,0,7,0.007640882364529731,502.9745752811432,0.0013869625520110957,0.9552117425757208,0.9
B2_top2_seeds,lstm_history,seed_789,../experiments/results/B2_top2_seeds/lstm_history/seed_789,../experiments/results/B2_top2_seeds/lstm_history/seed_789/eval/evaluation_results_MlpLstmPolicy_20260225-200345.csv,721,7,7,7,0,21,0.007488673808225532,490.84471863508224,0.009708737864077669,0.9567667736921165,0.9
B2_top2_seeds,mlp_hybrid,seed_1024,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_1024,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_1024/eval/evaluation_results_MlpPolicy_20260225-200354.csv,721,6,6,12,11,24,0.007603070846256258,499.47845405340195,0.0013869625520110957,0.9504804463227811,0.9
B2_top2_seeds,mlp_hybrid,seed_123,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_123,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_123/eval/evaluation_results_MlpPolicy_20260225-200403.csv,721,7,7,7,4,4,0.007559835878827259,489.2830107808113,0.0013869625520110957,0.9572524911156971,0.9
B2_top2_seeds,mlp_hybrid,seed_42,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_42,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_42/eval/evaluation_results_MlpPolicy_20260225-200412.csv,721,9,9,0,4,9,0.007603048196533225,491.7375720143318,0.0027739251040221915,0.95560770797002,0.9
B2_top2_seeds,mlp_hybrid,seed_456,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_456,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_456/eval/evaluation_results_MlpPolicy_20260225-200421.csv,721,8,9,7,0,3,0.0073498766556066505,483.16003465652466,0.0013869625520110957,0.9546646870951712,0.9
B2_top2_seeds,mlp_hybrid,seed_789,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_789,../experiments/results/B2_top2_seeds/mlp_hybrid/seed_789/eval/evaluation_results_MlpPolicy_20260225-200431.csv,721,10,11,5,3,20,0.00728384341782047,487.91398680210114,0.009708737864077669,0.9511116573615478,0.9
