t,requested_action,executed_action,cooldown_blocked
0,0,0,False
1,0,0,False
2,0,0,False
3,0,0,False
4,0,0,False
5,0,0,False
6,0,0,False
7,0,0,False
8,0,0,False
9,0,0,False
10,0,0,False
11,0,0,False
12,0,0,False
13,0,0,False
14,0,0,False
15,0,0,False
16,0,0,False
17,0,0,False
18,0,0,False
19,0,0,False
20,0,0,False
21,0,0,False
22,0,0,False
23,0,0,False
24,0,0,False
25,0,0,False
26,0,0,False
27,0,0,False
28,0,0,False
29,0,0,False
30,0,0,False
31,0,0,False
32,0,0,False
33,0,0,False
34,0,0,False
35,0,0,False
36,0,0,False
37,0,0,False
38,0,0,False
39,0,0,False
40,0,0,False
41,0,0,False
42,0,0,False
43,0,0,False
44,0,0,False
45,0,0,False
46,0,0,False
47,0,0,False
48,0,0,False
49,0,0,False
50,0,0,False
51,0,0,False
52,0,0,False
53,0,0,False
54,0,0,False
55,0,0,False
56,2,2,False
57,2,2,False
58,2,2,False
59,2,2,False
60,2,2,False
61,2,2,False
62,1,1,False
63,1,1,False
64,1,1,False
65,1,1,False
66,1,1,False
67,1,1,False
68,1,1,False
69,1,1,False
70,1,1,False
71,1,1,False
72,1,1,False
73,1,1,False
74,1,1,False
75,1,1,False
76,1,1,False
77,1,1,False
78,2,2,False
79,2,2,False
80,2,2,False
81,2,2,False
82,2,2,False
83,0,0,False
84,0,0,False
85,0,0,False
86,0,0,False
87,2,2,False
88,2,2,False
89,2,2,False
90,2,2,False
91,2,2,False
92,2,2,False
93,2,2,False
94,2,2,False
95,0,0,False
96,0,0,False
97,0,0,False
98,0,0,False
99,0,0,False
100,0,0,False
101,0,0,False
102,0,0,False
103,0,0,False
104,0,0,False
105,0,0,False
106,0,0,False
107,0,0,False
108,0,0,False
109,0,0,False
110,0,0,False
111,0,0,False
112,0,0,False
113,0,0,False
114,0,0,False
115,0,0,False
116,0,0,False
117,0,0,False
118,0,0,False
119,0,0,False
120,0,0,False
121,0,0,False
122,0,0,False
123,0,0,False
124,0,0,False
125,0,0,False
126,0,0,False
127,0,0,False
128,0,0,False
129,0,0,False
130,0,0,False
131,0,0,False
132,0,0,False
133,0,0,False
134,0,0,False
135,0,0,False
136,0,0,False
137,0,0,False
138,0,0,False
139,0,0,False
140,0,0,False
141,0,0,False
142,0,0,False
143,0,0,False
144,0,0,False
145,0,0,False
146,0,0,False
147,0,0,False
148,0,0,False
149,0,0,False
150,0,0,False
151,2,2,False
152,2,2,False
153,2,2,False
154,2,2,False
155,2,2,False
156,2,2,False
157,2,2,False
158,1,1,False
159,1,1,False
160,1,1,False
161,1,1,False
162,1,1,False
163,1,1,False
164,1,1,False
165,1,1,False
166,1,1,False
167,1,1,False
168,1,1,False
169,1,1,False
170,1,1,False
171,1,1,False
172,1,1,False
173,1,1,False
174,1,1,False
175,2,2,False
176,2,2,False
177,2,2,False
178,2,2,False
179,2,2,False
180,2,2,False
181,2,2,False
182,2,2,False
183,2,2,False
184,2,2,False
185,2,2,False
186,2,2,False
187,2,2,False
188,2,2,False
189,2,2,False
190,2,2,False
191,2,2,False
192,0,0,False
193,0,0,False
194,0,0,False
195,0,0,False
196,0,0,False
197,0,0,False
198,0,0,False
199,0,0,False
200,0,0,False
201,0,0,False
202,0,0,False
203,0,0,False
204,0,0,False
205,0,0,False
206,0,0,False
207,0,0,False
208,0,0,False
209,0,0,False
210,0,0,False
211,0,0,False
212,0,0,False
213,0,0,False
214,0,0,False
215,0,0,False
216,0,0,False
217,0,0,False
218,0,0,False
219,0,0,False
220,0,0,False
221,0,0,False
222,0,0,False
223,0,0,False
224,0,0,False
225,0,0,False
226,0,0,False
227,0,0,False
228,0,0,False
229,0,0,False
230,0,0,False
231,0,0,False
232,0,0,False
233,0,0,False
234,0,0,False
235,0,0,False
236,0,0,False
237,0,0,False
238,0,0,False
239,0,0,False
240,0,0,False
241,0,0,False
242,0,0,False
243,0,0,False
244,0,0,False
245,0,0,False
246,0,0,False
247,0,0,False
248,0,0,False
249,0,0,False
250,2,2,False
251,2,2,False
252,2,2,False
253,2,2,False
254,2,2,False
255,2,2,False
256,2,2,False
257,1,1,False
258,1,1,False
259,1,1,False
260,1,1,False
261,1,1,False
262,1,1,False
263,1,1,False
264,1,1,False
265,1,1,False
266,1,1,False
267,1,1,False
268,2,2,False
269,2,2,False
270,2,2,False
271,2,2,False
272,1,1,False
273,1,1,False
274,1,1,False
275,1,1,False
276,1,1,False
277,2,2,False
278,2,2,False
279,2,2,False
280,2,2,False
281,2,2,False
282,2,2,False
283,0,0,False
284,0,0,False
285,0,0,False
286,0,0,False
287,0,0,False
288,0,0,False
289,0,0,False
290,0,0,False
291,0,0,False
292,0,0,False
293,0,0,False
294,0,0,False
295,0,0,False
