timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
9412,-3166.1992072016,2353,0.009431216735361144,1.0015909636826197,0.9491949065462154,0.48278793030174244,471,0,0.48278793030174244,1.0
9412,-3141.9210647642612,2353,0.009346802394676446,0.9939352380585984,0.9493550300800795,0.47981300467488314,477,0,0.47981300467488314,1.0
9412,-3190.685917034745,2353,0.009436663078904924,1.00639383774132,0.9487310703440114,0.4883127921801955,454,0,0.4883127921801955,1.0
9412,-3155.4218600541353,2353,0.009322828019023593,1.0001457335591266,0.9488875980940567,0.4883127921801955,463,0,0.4883127921801955,1.0
18824,-2926.7513072937727,2353,0.008882585565230654,0.9518890651398094,0.9521216041627358,0.4322141946451339,429,0,0.4322141946451339,1.0
18824,-2970.93829369545,2353,0.008995858191869143,0.9613278561128843,0.9517510905196906,0.43646408839779005,443,0,0.43646408839779005,1.0
18824,-2942.9538661688566,2353,0.008950634458851539,0.9553448594330829,0.9521502746554876,0.4300892477688058,427,0,0.4300892477688058,1.0
18824,-2937.6601920574903,2353,0.008936906862656455,0.9460841842879146,0.9520325206261313,0.4360390990225244,438,0,0.4360390990225244,1.0
28236,-2754.3747710883617,2353,0.008568173167432306,0.914349998355773,0.954562736783593,0.3914152146196345,379,0,0.3914152146196345,1.0
28236,-2759.485443562269,2353,0.008634641498293216,0.9139261856466164,0.9549381698743363,0.3812154696132597,376,0,0.3812154696132597,1.0
28236,-2749.046451434493,2353,0.008618094565828132,0.9102450198332807,0.9550816625977292,0.3795155121121972,375,0,0.3795155121121972,1.0
28236,-2759.4283730834723,2353,0.00861398029745518,0.9085159883872023,0.9547225661192658,0.38759031024224394,382,0,0.38759031024224394,1.0
37648,-2559.5315528810024,2353,0.008394347785097732,0.8651638423388327,0.9585397030209867,0.31789205269868254,312,0,0.31789205269868254,1.0
37648,-2541.5611101984978,2353,0.008301393037798066,0.8645882278718798,0.958414081837135,0.3217169570760731,310,0,0.3217169570760731,1.0
37648,-2601.2436733692884,2353,0.008530585285370375,0.8753559296302373,0.9581664031331102,0.3259668508287293,321,0,0.3259668508287293,1.0
37648,-2650.7490939050913,2353,0.008610639862555503,0.879847599707205,0.9573864423362336,0.33956651083722905,334,0,0.33956651083722905,1.0
47060,-2479.300358310342,2353,0.008292023980589501,0.8393575574457012,0.9597566531052044,0.3004674883127922,283,0,0.3004674883127922,1.0
47060,-2482.047304496169,2353,0.008360025228926959,0.8419931526646126,0.9602094072764649,0.28856778580535486,270,0,0.28856778580535486,1.0
47060,-2506.8037839084864,2353,0.008465583926688957,0.8481095145977764,0.9601958682067943,0.2881427964300892,268,0,0.2881427964300892,1.0
47060,-2531.422726586461,2353,0.008565379556524142,0.8631807450431487,0.9602130805741864,0.2864428389290268,285,0,0.2864428389290268,1.0
56472,-2471.0425917953253,2353,0.008487911230266645,0.8366393349649954,0.9610639095965011,0.2753931151721207,258,0,0.2753931151721207,1.0
56472,-2453.175932586193,2353,0.008402612723079239,0.8332363758196589,0.9610650430220115,0.2753931151721207,268,0,0.2753931151721207,1.0
56472,-2455.987190052867,2353,0.00838224852152479,0.8289894724317779,0.960749775209277,0.2834679133021675,260,0,0.2834679133021675,1.0
56472,-2424.3889817744493,2353,0.00835897871366351,0.8235063952585002,0.9614947089680803,0.2685932851678708,258,0,0.2685932851678708,1.0
65884,-2453.651185914874,2353,0.008488428235806832,0.8287006779219614,0.9615503378842569,0.26519337016574585,245,0,0.26519337016574585,1.0
65884,-2454.1905966103077,2353,0.008348160806969694,0.8233865692521276,0.9606176044806186,0.28601784955376114,265,0,0.28601784955376114,1.0
65884,-2405.0838930904865,2353,0.008151210025404103,0.8158370835245087,0.9606716443364589,0.287292817679558,251,0,0.287292817679558,1.0
65884,-2425.298126682639,2353,0.008326934077319817,0.816883099114596,0.9612343969671361,0.27454313642158945,261,0,0.27454313642158945,1.0
75296,-2531.8680321872234,2353,0.00843555330588964,0.8475959553801654,0.95921971278144,0.3098172545686358,282,0,0.3098172545686358,1.0
75296,-2445.3165026903152,2353,0.008257141235176454,0.8304369105362558,0.9603794337433549,0.2898427539311517,268,0,0.2898427539311517,1.0
75296,-2553.646251901984,2353,0.008542917763119301,0.8581513890144017,0.959412556225525,0.3034424139396515,300,0,0.3034424139396515,1.0
75296,-2544.750895306468,2353,0.008411842298603317,0.8526047509222197,0.9587101192865481,0.32044198895027626,297,0,0.32044198895027626,1.0
84708,-2503.8789211660624,2353,0.008586543886769916,0.8568431886266862,0.960975150807685,0.2732681682957926,270,0,0.2732681682957926,1.0
84708,-2501.7193373441696,2353,0.008559132515026524,0.8505318379128582,0.9607748520207111,0.27879303017424567,266,0,0.27879303017424567,1.0
84708,-2444.0737438201904,2353,0.008480394945119353,0.8374672081690365,0.9617477943934738,0.26221844453888654,250,0,0.26221844453888654,1.0
