timesteps,ep_return,ep_len,sec_mean,power_mean,perf_mean,qos_violation_rate,switches,scale_events,frac_time_oai,mean_k
9412,-3314.012494161725,2353,0.009291025341907575,1.0717416959167592,0.9427332177447908,0.6451338716532087,365,154,0.6451338716532087,1.5164690382081687
9412,-3310.1514752209187,2353,0.009258649171449963,1.0723016778307168,0.9424349396876259,0.6557586060348491,360,163,0.6557586060348491,1.5379131561892418
9412,-3323.8917256444693,2353,0.00923184137223419,1.0657798625082346,0.9420582050979264,0.659158521036974,351,162,0.659158521036974,1.5138620245003225
9412,-3309.717134654522,2353,0.009158253729801754,1.065678371604939,0.942059613900442,0.6583085422864429,355,170,0.6583085422864429,1.5048418334409297
18824,-3111.706550195813,2353,0.008640518601434808,1.021353105307132,0.9438818940141583,0.6328091797705058,361,152,0.6328091797705058,1.5204835460040296
18824,-3081.893494233489,2353,0.008569702633315775,1.0173552899577494,0.9445439482870074,0.6145346366340841,368,139,0.6145346366340841,1.5013831258644537
18824,-3093.533977881074,2353,0.008657976766643333,1.002011966588798,0.9444362836293448,0.6221844453888653,355,150,0.6221844453888653,1.514344262295082
18824,-3164.366390198469,2353,0.008820704454409661,1.0288840490759457,0.9437093556408572,0.6328091797705058,365,151,0.6328091797705058,1.5177971793149765
28236,-2957.8096790760756,2353,0.008495340715200058,0.9692363557641273,0.947058210006127,0.5728856778580536,351,132,0.5728856778580536,1.524480712166172
28236,-2969.6481565237045,2353,0.008612054406577793,0.9687548472280457,0.9475285264465892,0.5614109647258818,359,124,0.5614109647258818,1.5246025738077214
28236,-2916.9803731292486,2353,0.008348162519012107,0.9613516720821642,0.9474506612995357,0.5626859328516787,373,109,0.5626859328516787,1.5128398791540785
28236,-2936.459064990282,2353,0.00836344457441633,0.9791997941412726,0.9467781141773974,0.5809604759881003,364,123,0.5809604759881003,1.56693489392831
37648,-2743.072726532817,2353,0.008024458191011226,0.9172323179964406,0.9500429210792538,0.5155121121971951,323,106,0.5155121121971951,1.54080791426216
37648,-2770.173991933465,2353,0.008127563228168518,0.9312497823227227,0.9500587778906087,0.5125371865703358,343,106,0.5125371865703358,1.5796019900497513
37648,-2844.950376853347,2353,0.008293677823405508,0.937644165447809,0.9489541375986627,0.5346366340841479,344,117,0.5346366340841479,1.5302066772655007
37648,-2732.7370195388794,2353,0.008170231587332275,0.906959633066256,0.9511567045413227,0.4934126646833829,322,98,0.4934126646833829,1.5142118863049097
47060,-2721.634956255555,2353,0.00812695949845795,0.9103797065466959,0.951516108187624,0.47981300467488314,319,95,0.47981300467488314,1.5137289636846767
47060,-2733.022750914097,2353,0.008375722525761646,0.9048144288180586,0.9525118250822545,0.463238419039524,323,85,0.463238419039524,1.5376146788990825
47060,-2671.3670743256807,2353,0.008121665312263037,0.895442690233246,0.9527325859689936,0.45813854653633657,318,88,0.45813854653633657,1.5343228200371057
47060,-2726.0975105911493,2353,0.008210883739691732,0.8946541458355636,0.9516791757299097,0.4802379940501487,315,103,0.4802379940501487,1.5061946902654868
56472,-2680.533817201853,2353,0.008202077661883569,0.8930084901417361,0.9532233080203312,0.4424139396515087,289,91,0.4424139396515087,1.5225744476464937
56472,-2759.536117941141,2353,0.008282947455789329,0.9052772384930102,0.9512452892531652,0.4878878028049299,320,102,0.4878878028049299,1.578397212543554
56472,-2641.927944138646,2353,0.00807006775240837,0.8816326275005576,0.9531268570659215,0.45218869528261796,311,83,0.45218869528261796,1.5667293233082706
56472,-2696.966825708747,2353,0.008250603211380278,0.8854034361411701,0.9528478747016057,0.45431364215894604,297,95,0.45431364215894604,1.5612722170252573
65884,-2606.630395293236,2353,0.008206785511054476,0.8751091680220731,0.9549417285984038,0.4152146196345091,307,70,0.4152146196345091,1.563971340839304
65884,-2587.8463884592056,2353,0.0079323685426907,0.8540733255734101,0.9537056292111551,0.44113897152571185,280,95,0.44113897152571185,1.5703275529865126
65884,-2498.909497857094,2353,0.007862448928170413,0.8464691141945627,0.9557365533447346,0.4003399915002125,245,89,0.4003399915002125,1.5774946921443738
65884,-2603.9770113378763,2353,0.008216206673247746,0.8613438762809893,0.9549022330864916,0.41861453463663406,275,88,0.41861453463663406,1.5553299492385786
75296,-2567.4744762331247,2353,0.007853963557801763,0.8510155524287485,0.9535221116774851,0.4509137271568211,283,92,0.4509137271568211,1.533459000942507
75296,-2655.686751142144,2353,0.007866925193326166,0.8727813694409193,0.9513533422909439,0.4908627284317892,287,113,0.4908627284317892,1.5636363636363637
75296,-2577.606284081936,2353,0.007712174645273582,0.8553944916052358,0.9524506838383494,0.47131321716957075,265,117,0.47131321716957075,1.545536519386835
75296,-2572.344840526581,2353,0.00792090822686273,0.84602218407851,0.9539547257103212,0.43858903527411813,294,86,0.43858903527411813,1.5319767441860466
84708,-2647.001663520932,2353,0.008094895920950541,0.8875572110965209,0.9531980903159797,0.4492137696557586,307,84,0.4492137696557586,1.544938505203406
84708,-2543.893822297454,2353,0.008026848629190632,0.8504778295692058,0.9556765882349805,0.39779005524861877,281,69,0.39779005524861877,1.5758547008547008
84708,-2508.1876454800367,2353,0.007983027999532752,0.8403056563593406,0.9560340637862809,0.39779005524861877,264,80,0.39779005524861877,1.5598290598290598
84708,-2646.9091233611107,2353,0.008180730707018845,0.8760877038335172,0.9538235597999563,0.43391415214619633,295,84,0.43391415214619633,1.5494613124387855
