n_steps,mean_power,mean_sec,mean_performance,qos_violations,qos_violation_rate,type_switches,scale_events,total_energy_wh,total_reward,baseline_dpdk_mean_sec,baseline_dpdk_energy_wh,energy_saved_vs_dpdk_pct,baseline_1xoai_energy_wh,energy_saved_vs_1xoai_pct,train_time_s,status,run_id,group,config_name,variable,seed,policy,observation_schema,qos_lambda,type_switch_cost,cooldown_period,num_oai_instances,baseline_2xoai_energy_wh,energy_saved_vs_2xoai_pct
721,0.7316,0.009891,0.9636,1,0.0014,14,0,131.8659,-720.2135,0.013528,147.7925,10.78,178.9289,26.3,445.35,success,A1_policy/mlp/seed_42,A1_policy,mlp,policy,42,MlpPolicy,,,,,,,
721,0.7839,0.012186,0.9692,0,0.0,6,0,141.2927,-881.5811,0.013528,147.7925,4.4,178.9289,21.03,442.83,success,A1_policy/mlp/seed_123,A1_policy,mlp,policy,123,MlpPolicy,,,,,,,
721,0.6904,0.007864,0.9595,1,0.0014,16,0,124.4448,-575.0957,0.013528,147.7925,15.8,178.9289,30.45,441.96,success,A1_policy/mlp/seed_456,A1_policy,mlp,policy,456,MlpPolicy,,,,,,,
721,0.7625,0.011576,0.9679,0,0.0,8,0,137.4327,-838.6482,0.013528,147.7925,7.01,178.9289,23.19,441.36,success,A1_policy/mlp/seed_789,A1_policy,mlp,policy,789,MlpPolicy,,,,,,,
721,0.7935,0.012735,0.9699,0,0.0,6,0,143.0203,-921.2028,0.013528,147.7925,3.23,178.9289,20.07,446.24,success,A1_policy/mlp/seed_1024,A1_policy,mlp,policy,1024,MlpPolicy,,,,,,,
721,0.6916,0.007803,0.9613,1,0.0014,14,0,124.6699,-569.6756,0.013528,147.7925,15.65,178.9289,30.32,681.16,success,A1_policy/lstm/seed_42,A1_policy,lstm,policy,42,MlpLstmPolicy,,,,,,,
721,0.6995,0.007986,0.9625,1,0.0014,14,0,126.0923,-582.8875,0.013528,147.7925,14.68,178.9289,29.53,680.74,success,A1_policy/lstm/seed_123,A1_policy,lstm,policy,123,MlpLstmPolicy,,,,,,,
721,0.6787,0.007513,0.9587,1,0.0014,14,0,122.3406,-548.7776,0.013528,147.7925,17.22,178.9289,31.63,665.96,success,A1_policy/lstm/seed_456,A1_policy,lstm,policy,456,MlpLstmPolicy,,,,,,,
721,0.685,0.007659,0.9604,1,0.0014,14,0,123.478,-559.2662,0.013528,147.7925,16.45,178.9289,30.99,688.18,success,A1_policy/lstm/seed_789,A1_policy,lstm,policy,789,MlpLstmPolicy,,,,,,,
721,0.6831,0.007625,0.9601,1,0.0014,14,0,123.1269,-556.8144,0.013528,147.7925,16.69,178.9289,31.19,682.11,success,A1_policy/lstm/seed_1024,A1_policy,lstm,policy,1024,MlpLstmPolicy,,,,,,,
839,0.6799,0.007353,0.9543,1,0.0012,22,0,142.6184,-628.0047,0.013226,171.9841,17.07,210.5165,32.25,484.38,success,A2_observation/instant/seed_42,A2_observation,instant,observation_schema,42,,instant,,,,,,
839,0.676,0.007376,0.9597,1,0.0012,18,0,141.7876,-627.9259,0.013226,171.9841,17.56,210.5165,32.65,489.57,success,A2_observation/instant/seed_123,A2_observation,instant,observation_schema,123,,instant,,,,,,
839,0.6795,0.00736,0.9538,1,0.0012,20,0,142.5208,-627.5556,0.013226,171.9841,17.13,210.5165,32.3,492.31,success,A2_observation/instant/seed_456,A2_observation,instant,observation_schema,456,,instant,,,,,,
839,0.687,0.007414,0.9525,1,0.0012,26,0,144.0933,-635.1047,0.013226,171.9841,16.22,210.5165,31.55,483.77,success,A2_observation/instant/seed_789,A2_observation,instant,observation_schema,789,,instant,,,,,,
