t,power,traffic,sec,controller,load_bin,load_bin_label
0,1.590859055519104,160.6437530517578,0.009903024707139064,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
1,1.5139893293380735,175.68780517578125,0.008617498111626353,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
2,1.4400763511657717,167.81863403320312,0.008581146899818353,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
3,0.8206891417503357,160.0994415283203,0.005126121202647433,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
4,0.8208350539207458,158.98829650878906,0.005162864638123657,Feed-forward PPO,"(80.0, 160.0]","(80, 160]"
5,0.8206606507301331,176.3783721923828,0.004652841731836635,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
6,0.8206168413162231,155.8834228515625,0.005264298321814773,Feed-forward PPO,"(80.0, 160.0]","(80, 160]"
7,0.8209586143493652,151.2222137451172,0.005428822882682295,Feed-forward PPO,"(80.0, 160.0]","(80, 160]"
8,0.8207944631576538,193.24801635742188,0.004247362941307265,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
9,0.8213800191879272,171.16561889648438,0.004798744189887061,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
10,0.8210428357124329,263.7792663574219,0.0031126132354918176,Feed-forward PPO,"(240.0, 320.0]","(240, 320]"
11,0.821078360080719,205.6524810791016,0.003992552658603237,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
12,0.8211866021156311,211.1239013671875,0.003889595620381324,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
13,0.8214457631111145,228.6915435791016,0.003591937639036428,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
14,0.8211996555328369,277.73150634765625,0.0029568112971125535,Feed-forward PPO,"(240.0, 320.0]","(240, 320]"
15,0.8211184740066528,230.9044647216797,0.003556096132642505,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
16,0.8209959864616394,217.4733123779297,0.0037751574089003406,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
17,0.8211719989776611,198.65396118164065,0.004133680466742955,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
18,0.8212147951126099,226.23712158203125,0.00362988526980019,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
19,0.8209925293922424,233.5007476806641,0.0035160167046447014,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
20,0.8209382891654968,198.1498107910156,0.004143018284439964,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
21,0.8210228681564331,190.3638458251953,0.0043129138550308055,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
22,0.821037769317627,202.6382293701172,0.004051741726473575,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
23,0.8211585879325867,204.8867034912109,0.004007866659672291,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
24,0.821047306060791,224.0075836181641,0.0036652656700244626,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
25,0.8211355209350586,206.3332672119141,0.003979656465632918,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
26,0.8211109638214111,220.22344970703125,0.003728535562011019,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
27,0.821194589138031,216.26312255859372,0.0037972012029722675,Feed-forward PPO,"(160.0, 240.0]","(160, 240]"
