Experiment,Variant,Seed,steps,QoS_Threshold,avg_qos,violation_rate,avg_sec,total_power_wh,switch_dpdk_to_oai,switch_oai_to_dpdk,n_reconf,cooldown_blocked
A1_policy_observation,lstm_history,seed_456,721,0.9,0.9552117425757208,0.001386962552011,0.0076408823645297,125.7436438202858,8,8,16,7
B2_top2_seeds,lstm_history,seed_1024,721,0.9,0.9558351502835172,0.0097087378640776,0.0073981718672858,121.90513864159584,7,7,14,5
B2_top2_seeds,lstm_history,seed_123,721,0.9,0.9656660266623583,0.001386962552011,0.0102571405992867,133.9991319924593,9,9,18,27
B2_top2_seeds,lstm_history,seed_42,721,0.9,0.9541894704227474,0.0083217753120665,0.0074093043382747,122.10855622589588,19,19,38,54
B2_top2_seeds,lstm_history,seed_456,721,0.9,0.9552117425757208,0.001386962552011,0.0076408823645297,125.7436438202858,8,8,16,7
B2_top2_seeds,lstm_history,seed_789,721,0.9,0.9567667736921164,0.0097087378640776,0.0074886738082255,122.71117965877056,7,7,14,21
D1_mlp_lstm_cd4_k_threshold,lstm_history_cd4_k1_t90,seed_456,721,,0.9587107200728376,0.001386962552011,0.0074689698753679,121.80310840904713,7,7,14,2
D1_mlp_lstm_cd4_k_threshold,lstm_history_cd4_k1_t95,seed_456,721,,0.9646491724971924,0.2080443828016643,0.0082079287390411,127.9392632395029,7,7,14,0
D1_mlp_lstm_cd4_k_threshold,lstm_history_cd4_k2_t90,seed_456,721,,0.9552117425757208,0.001386962552011,0.0076408823645297,125.7436438202858,8,8,16,7
D1_mlp_lstm_cd4_k_threshold,lstm_history_cd4_k2_t95,seed_456,721,,0.96103321232842,0.2968099861303744,0.0077038024724609,123.91188922524452,8,8,16,7
