Experiment,Variant,Seed,steps,QoS_Threshold,avg_qos,violation_rate,avg_sec,total_power_wh,switch_dpdk_to_oai,switch_oai_to_dpdk,n_reconf,cooldown_blocked
A1_policy_observation,mlp_hybrid,seed_456,721,0.9,0.9546646870951712,0.001386962552011,0.0073498766556066,120.79000866413118,8,9,17,3
B2_top2_seeds,mlp_hybrid,seed_1024,721,0.9,0.9504804463227812,0.001386962552011,0.0076030708462562,124.8696135133505,6,6,12,24
B2_top2_seeds,mlp_hybrid,seed_123,721,0.9,0.9572524911156972,0.001386962552011,0.0075598358788272,122.32075269520283,7,7,14,4
B2_top2_seeds,mlp_hybrid,seed_42,721,0.9,0.95560770797002,0.0027739251040221,0.0076030481965332,122.93439300358295,9,9,18,9
B2_top2_seeds,mlp_hybrid,seed_456,721,0.9,0.9546646870951712,0.001386962552011,0.0073498766556066,120.79000866413118,8,9,17,3
B2_top2_seeds,mlp_hybrid,seed_789,721,0.9,0.9511116573615478,0.0097087378640776,0.0072838434178204,121.97849670052528,10,11,21,20
C1_cooldown_instances,mlp_hybrid_cd0_k2,seed_456,721,0.9,0.9518745453942996,0.0097087378640776,0.0071836687425369,120.28044265508652,18,18,36,0
C1_cooldown_instances,mlp_hybrid_cd2_k2,seed_456,721,0.9,0.9566549325617606,0.001386962552011,0.0074453010897431,121.4294878989458,8,9,17,5
C1_cooldown_instances,mlp_hybrid_cd4_k2,seed_456,721,0.9,0.9546646870951712,0.001386962552011,0.0073498766556066,120.79000866413118,8,9,17,3
C1_cooldown_instances,mlp_hybrid_cd8_k2,seed_456,721,0.9,0.9519982189146722,0.0041608876560332,0.0073241086824617,121.54231177270412,9,9,18,90
D1_mlp_lstm_cd4_k_threshold,mlp_hybrid_cd4_k1_t90,seed_456,721,,0.9539193759017448,0.001386962552011,0.0074898929257028,123.322618201375,10,10,20,3
D1_mlp_lstm_cd4_k_threshold,mlp_hybrid_cd4_k1_t95,seed_456,721,,0.9649802676186316,0.2024965325936199,0.0088418318806719,129.48505881428719,6,6,12,0
D1_mlp_lstm_cd4_k_threshold,mlp_hybrid_cd4_k2_t90,seed_456,721,,0.9546646870951712,0.001386962552011,0.0073498766556066,120.79000866413118,8,9,17,3
D1_mlp_lstm_cd4_k_threshold,mlp_hybrid_cd4_k2_t95,seed_456,721,,0.9578749973962444,0.3689320388349514,0.0075821242351394,122.7599841952324,9,9,18,9
