step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,160.6438,,DPDK,0.820704,0.205176,0.975248,0.00510884,0
1,175.6878,,DPDK,0.82083,0.205207,0.975262,0.00467209,0
2,167.8186,,DPDK,0.820767,0.205192,0.975259,0.0048908,0
3,160.0994,,DPDK,0.820699,0.205175,0.975249,0.00512618,0
4,158.9883,,DPDK,0.820689,0.205172,0.975248,0.00516195,0
5,176.3784,,DPDK,0.820835,0.205209,0.97526,0.00465383,0
6,155.8834,,DPDK,0.820661,0.205165,0.975246,0.00526458,0
7,151.2222,,DPDK,0.820617,0.205154,0.975243,0.00542656,0
8,193.248,,DPDK,0.820959,0.20524,0.97528,0.00424821,0
9,171.1656,,DPDK,0.820794,0.205199,0.975257,0.00479532,0
10,263.7793,,DPDK,0.82138,0.205345,0.975208,0.00311389,0
11,205.6525,,DPDK,0.821043,0.205261,0.975294,0.00399238,0
12,211.1239,,DPDK,0.821078,0.20527,0.975295,0.00388908,0
13,228.6915,,DPDK,0.821187,0.205297,0.975312,0.0035908,0
14,277.7315,,DPDK,0.821446,0.205361,0.975126,0.0029577,0
15,230.9045,,DPDK,0.8212,0.2053,0.975315,0.00355645,0
16,217.4733,,DPDK,0.821118,0.20528,0.975301,0.00377572,0
17,198.654,,DPDK,0.820996,0.205249,0.975286,0.00413279,0
18,226.2371,,DPDK,0.821172,0.205293,0.97531,0.0036297,0
19,233.5007,,DPDK,0.821215,0.205304,0.975318,0.00351697,0
20,198.1498,,DPDK,0.820993,0.205248,0.975284,0.00414329,0
21,190.3638,,DPDK,0.820938,0.205235,0.975279,0.00431247,0
22,202.6382,,DPDK,0.821023,0.205256,0.975291,0.00405167,0
23,204.8867,,DPDK,0.821038,0.205259,0.975292,0.00400728,0
24,224.0076,,DPDK,0.821159,0.20529,0.975307,0.00366576,0
25,206.3333,,DPDK,0.821047,0.205262,0.975295,0.00397923,0
26,220.2234,,DPDK,0.821136,0.205284,0.975308,0.00372865,0
27,216.2631,,DPDK,0.821111,0.205278,0.975302,0.00379681,0
28,230.0412,,DPDK,0.821195,0.205299,0.975315,0.00356977,0
29,233.7276,,DPDK,0.821216,0.205304,0.975318,0.00351356,0
30,220.425,,DPDK,0.821137,0.205284,0.975308,0.00372524,0
31,218.2663,,DPDK,0.821123,0.205281,0.975304,0.00376202,0
32,209.714,,DPDK,0.821069,0.205267,0.975296,0.00391519,0
33,242.821,,DPDK,0.821268,0.205317,0.975318,0.00338219,0
34,234.8087,,DPDK,0.821222,0.205306,0.97532,0.00349741,0
35,250.9939,,DPDK,0.821313,0.205328,0.975271,0.00327224,0
36,251.5332,,DPDK,0.821316,0.205329,0.975272,0.00326524,0
37,270.5761,,DPDK,0.821414,0.205353,0.975172,0.0030358,0
38,323.4708,,DPDK,0.821631,0.205408,0.974801,0.00254005,0
39,364.1791,,DPDK,0.821776,0.205444,0.974484,0.00225651,0
40,332.8105,,DPDK,0.821666,0.205416,0.974741,0.00246887,0
41,365.7255,,DPDK,0.821781,0.205445,0.974467,0.00224699,0
42,302.6668,,DPDK,0.82155,0.205388,0.974946,0.00271437,0
43,331.9557,,DPDK,0.821663,0.205416,0.974748,0.00247522,0
44,336.0888,,DPDK,0.821678,0.205419,0.97472,0.00244482,0
45,309.2767,,DPDK,0.821577,0.205394,0.974896,0.00265645,0
46,295.2187,,DPDK,0.82152,0.20538,0.974999,0.00278275,0
47,275.668,,DPDK,0.821437,0.205359,0.975145,0.0029798,0
48,244.0287,,DPDK,0.821275,0.205319,0.975312,0.00336548,0
49,160.5314,,DPDK,0.820703,0.205176,0.975249,0.00511241,0
50,160.7113,,DPDK,0.820705,0.205176,0.975251,0.0051067,0
51,157.0701,,DPDK,0.820672,0.205168,0.975249,0.00522487,0
52,154.244,,DPDK,0.820645,0.205161,0.975244,0.00532044,0
53,136.8111,,DPDK,0.820458,0.205115,0.975161,0.00599701,0
54,126.435,,DPDK,0.820315,0.205079,0.975068,0.00648804,0
55,98.2447,,DPDK,0.819787,0.204947,0.974892,0.00834434,0
56,83.8802,,2xOAI,0.688074,0.172018,0.93351,0.00820305,0
57,85.4356,,2xOAI,0.709921,0.17748,0.933624,0.00830943,0
58,65.6384,,2xOAI,0.51429,0.128573,0.92917,0.00783521,0
59,62.175,,2xOAI,0.464966,0.116242,0.927993,0.00747834,0
60,61.9114,,2xOAI,0.462689,0.115672,0.927904,0.00747341,0
61,65.1291,,2xOAI,0.509318,0.12733,0.928995,0.00782013,0
62,38.7057,,1xOAI,0.309798,0.077449,0.932818,0.00800393,0
63,40.4218,,1xOAI,0.323489,0.080872,0.933276,0.00800283,0
64,30.9273,,1xOAI,0.231116,0.057779,0.927885,0.00747287,0
65,30.0752,,1xOAI,0.228101,0.057025,0.927277,0.00758435,0
66,24.1078,,1xOAI,0.236029,0.059007,0.922559,0.00979058,0
67,24.7302,,1xOAI,0.247835,0.061959,0.923136,0.01002154,0
68,21.1243,,1xOAI,0.199914,0.049979,0.920701,0.00946371,0
69,23.1005,,1xOAI,0.221649,0.055412,0.921584,0.00959499,0
70,32.1962,,1xOAI,0.248607,0.062152,0.928749,0.00772163,0
71,42.0981,,1xOAI,0.346093,0.086523,0.933529,0.00822111,0
72,39.2225,,1xOAI,0.310146,0.077536,0.933081,0.00790734,0
73,27.1649,,1xOAI,0.230746,0.057686,0.925172,0.00849427,0
74,34.4753,,1xOAI,0.281959,0.07049,0.930246,0.00817858,0
75,25.9351,,1xOAI,0.244143,0.061036,0.924206,0.00941365,0
76,29.5807,,1xOAI,0.227365,0.056841,0.926935,0.00768626,0
77,47.9984,,1xOAI,0.428393,0.107098,0.934444,0.00892515,0
78,70.4939,,2xOAI,0.585742,0.146435,0.930727,0.00830912,0
79,90.0655,,2xOAI,0.776415,0.194104,0.933991,0.00862056,0
80,83.1271,,2xOAI,0.678241,0.16956,0.933439,0.00815908,0
81,97.0232,,2xOAI,0.870012,0.217503,0.934523,0.00896705,0
82,80.4964,,2xOAI,0.641932,0.160483,0.933246,0.00797466,0
83,97.2268,,DPDK,0.819766,0.204941,0.974881,0.00843147,0
84,92.727,,DPDK,0.819677,0.204919,0.974833,0.00883969,0
85,101.9575,,DPDK,0.819864,0.204966,0.97493,0.00804124,0
86,119.3082,,DPDK,0.820192,0.205048,0.974998,0.00687456,0
87,88.7113,,2xOAI,0.757306,0.189327,0.933878,0.00853675,0
88,69.2165,,2xOAI,0.568579,0.142145,0.930326,0.0082145,0
89,83.4569,,2xOAI,0.68249,0.170623,0.933473,0.00817776,0
90,78.5698,,2xOAI,0.62037,0.155093,0.933102,0.00789578,0
91,88.6324,,2xOAI,0.756184,0.189046,0.933864,0.00853169,0
92,75.1291,,2xOAI,0.618168,0.154542,0.932116,0.00822808,0
93,75.8048,,2xOAI,0.618549,0.154637,0.932325,0.00815976,0
94,81.2284,,2xOAI,0.652554,0.163139,0.933306,0.00803357,0
95,95.5749,,DPDK,0.81973,0.204933,0.974863,0.00857683,0
96,99.0585,,DPDK,0.819804,0.204951,0.974898,0.00827596,0
97,92.4367,,DPDK,0.819673,0.204918,0.974826,0.00886739,0
98,144.7699,,DPDK,0.820549,0.205137,0.975228,0.00566795,0
