step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,175.6878,125.6178,DPDK,0.82083,0.205207,0.975262,0.00467209,0
1,167.8186,132.5709,DPDK,0.820767,0.205192,0.975259,0.0048908,0
2,160.0994,138.103,DPDK,0.820699,0.205175,0.975249,0.00512618,0
3,158.9883,141.4944,DPDK,0.820689,0.205172,0.975248,0.00516195,0
4,176.3784,143.1701,DPDK,0.820835,0.205209,0.97526,0.00465383,0
5,155.8834,144.8484,DPDK,0.820661,0.205165,0.975246,0.00526458,0
6,151.2222,144.5747,DPDK,0.820617,0.205154,0.975243,0.00542656,0
7,193.248,142.7868,DPDK,0.820959,0.20524,0.97528,0.00424821,0
8,171.1656,143.4718,DPDK,0.820794,0.205199,0.975257,0.00479532,0
9,263.7793,143.5589,DPDK,0.82138,0.205345,0.975208,0.00311389,0
10,205.6525,150.5228,DPDK,0.821043,0.205261,0.975294,0.00399238,0
11,211.1239,155.6927,DPDK,0.821078,0.20527,0.975295,0.00388908,0
12,228.6915,159.8168,DPDK,0.821187,0.205297,0.975312,0.0035908,0
13,277.7315,164.1177,DPDK,0.821446,0.205361,0.975126,0.0029577,0
14,230.9045,171.7983,DPDK,0.8212,0.2053,0.975315,0.00355645,0
15,217.4733,176.3846,DPDK,0.821118,0.20528,0.975301,0.00377572,0
16,198.654,177.6268,DPDK,0.820996,0.205249,0.975286,0.00413279,0
17,226.2371,175.1895,DPDK,0.821172,0.205293,0.97531,0.0036297,0
18,233.5007,173.1596,DPDK,0.821215,0.205304,0.975318,0.00351697,0
19,198.1498,171.9208,DPDK,0.820993,0.205248,0.975284,0.00414329,0
20,190.3638,168.2502,DPDK,0.820938,0.205235,0.975279,0.00431247,0
21,202.6382,163.0898,DPDK,0.821023,0.205256,0.975291,0.00405167,0
22,204.8867,158.6337,DPDK,0.821038,0.205259,0.975292,0.00400728,0
23,224.0076,155.1444,DPDK,0.821159,0.20529,0.975307,0.00366576,0
24,206.3333,154.1137,DPDK,0.821047,0.205262,0.975295,0.00397923,0
25,220.2234,153.0389,DPDK,0.821136,0.205284,0.975308,0.00372865,0
26,216.2631,153.2892,DPDK,0.821111,0.205278,0.975302,0.00379681,0
27,230.0412,153.8105,DPDK,0.821195,0.205299,0.975315,0.00356977,0
28,233.7276,155.5758,DPDK,0.821216,0.205304,0.975318,0.00351356,0
29,220.425,158.0542,DPDK,0.821137,0.205284,0.975308,0.00372524,0
30,218.2663,159.487,DPDK,0.821123,0.205281,0.975304,0.00376202,0
31,209.714,160.0349,DPDK,0.821069,0.205267,0.975296,0.00391519,0
32,242.821,159.2354,DPDK,0.821268,0.205317,0.975318,0.00338219,0
33,234.8087,160.5293,DPDK,0.821222,0.205306,0.97532,0.00349741,0
34,250.9939,161.9805,DPDK,0.821313,0.205328,0.975271,0.00327224,0
35,251.5332,164.7449,DPDK,0.821316,0.205329,0.975272,0.00326524,0
36,270.5761,167.8604,DPDK,0.821414,0.205353,0.975172,0.0030358,0
37,323.4708,172.3924,DPDK,0.821631,0.205408,0.974801,0.00254005,0
38,364.1791,181.6283,DPDK,0.821776,0.205444,0.974484,0.00225651,0
39,332.8105,195.6961,DPDK,0.821666,0.205416,0.974741,0.00246887,0
40,365.7255,207.8548,DPDK,0.821781,0.205445,0.974467,0.00224699,0
41,302.6668,220.4803,DPDK,0.82155,0.205388,0.974946,0.00271437,0
42,331.9557,225.7333,DPDK,0.821663,0.205416,0.974748,0.00247522,0
43,336.0888,229.1269,DPDK,0.821678,0.205419,0.97472,0.00244482,0
44,309.2767,231.0214,DPDK,0.821577,0.205394,0.974896,0.00265645,0
45,295.2187,229.198,DPDK,0.82152,0.20538,0.974999,0.00278275,0
46,275.668,224.3331,DPDK,0.821437,0.205359,0.975145,0.0029798,0
47,244.0287,216.5771,DPDK,0.821275,0.205319,0.975312,0.00336548,0
48,160.5314,205.3516,DPDK,0.820703,0.205176,0.975249,0.00511241,0
49,160.7113,186.3285,DPDK,0.820705,0.205176,0.975251,0.0051067,0
50,157.0701,165.3446,DPDK,0.820672,0.205168,0.975249,0.00522487,0
51,154.244,145.6529,DPDK,0.820645,0.205161,0.975244,0.00532044,0
52,136.8111,128.0646,DPDK,0.820458,0.205115,0.975161,0.00599701,0
53,126.435,112.4551,DPDK,0.820315,0.205079,0.975068,0.00648804,0
54,98.2447,99.2616,DPDK,0.819787,0.204947,0.974892,0.00834434,0
55,83.8802,86.8912,OAI-1x,0.756682,0.18917,0.930254,0.00902098,0
56,85.4356,75.5234,OAI-1x,0.772318,0.193079,0.929842,0.00903977,0
57,65.6384,66.0941,OAI-1x,0.604456,0.151114,0.935159,0.00920889,0
58,62.175,57.6951,OAI-1x,0.574004,0.143501,0.935861,0.00923207,0
59,61.9114,51.153,OAI-1x,0.571408,0.142852,0.935846,0.00922945,0
60,65.1291,46.5368,OAI-1x,0.600112,0.150028,0.935304,0.00921419,0
61,38.7057,43.8142,OAI-1x,0.309798,0.077449,0.932818,0.00800393,0
62,40.4218,41.0007,OAI-1x,0.323489,0.080872,0.933276,0.00800283,0
63,30.9273,38.7899,OAI-1x,0.231116,0.057779,0.927885,0.00747287,0
64,30.0752,36.7123,OAI-1x,0.228101,0.057025,0.927277,0.00758435,0
65,24.1078,35.0657,OAI-1x,0.236029,0.059007,0.922559,0.00979058,0
66,24.7302,33.7191,OAI-1x,0.247835,0.061959,0.923136,0.01002154,0
67,21.1243,32.9249,OAI-1x,0.199914,0.049979,0.920701,0.00946371,0
68,23.1005,32.5337,OAI-1x,0.221649,0.055412,0.921584,0.00959499,0
69,32.1962,32.7354,OAI-1x,0.248607,0.062152,0.928749,0.00772163,0
70,42.0981,34.1027,OAI-1x,0.346093,0.086523,0.933529,0.00822111,0
71,39.2225,37.1336,OAI-1x,0.310146,0.077536,0.933081,0.00790734,0
72,27.1649,40.8213,OAI-1x,0.230746,0.057686,0.925172,0.00849427,0
73,34.4753,43.7908,OAI-1x,0.281959,0.07049,0.930246,0.00817858,0
74,25.9351,46.8194,OAI-1x,0.244143,0.061036,0.924206,0.00941365,0
75,29.5807,49.8911,OAI-1x,0.227365,0.056841,0.926935,0.00768626,0
76,47.9984,53.1253,OAI-1x,0.428393,0.107098,0.934444,0.00892515,0
77,70.4939,57.1591,OAI-1x,0.642528,0.160632,0.933848,0.00911466,0
78,90.0655,62.7403,OAI-1x,0.815845,0.203961,0.928727,0.00905835,0
79,83.1271,69.4256,OAI-1x,0.748926,0.187232,0.930447,0.00900941,0
80,97.0232,75.5083,OAI-1x,0.879321,0.21983,0.927355,0.009063,0
81,80.4964,82.0403,OAI-1x,0.724045,0.181011,0.931131,0.00899474,0
82,97.2268,87.4257,OAI-1x,0.881164,0.220291,0.927326,0.00906297,0
83,92.727,92.353,DPDK,0.819677,0.204919,0.974833,0.00883969,0
84,101.9575,96.1264,DPDK,0.819864,0.204966,0.97493,0.00804124,0
85,119.3082,99.481,DPDK,0.820192,0.205048,0.974998,0.00687456,0
86,88.7113,103.4204,DPDK,0.819629,0.204907,0.974786,0.00923929,0
87,69.2165,105.044,DPDK,0.819405,0.204851,0.974223,0.01183829,0
88,83.4569,103.7476,DPDK,0.819574,0.204893,0.97472,0.00982032,0
89,78.5698,101.9006,DPDK,0.819519,0.20488,0.974647,0.01043046,0
90,88.6324,99.5234,DPDK,0.819628,0.204907,0.974785,0.00924751,0
91,75.1291,97.7948,DPDK,0.819479,0.20487,0.974497,0.01090761,0
92,75.8048,95.6532,DPDK,0.819487,0.204872,0.974527,0.01081048,0
93,81.2284,93.5729,DPDK,0.819549,0.204887,0.974694,0.01008945,0
94,95.5749,92.12,DPDK,0.81973,0.204933,0.974863,0.00857683,0
95,99.0585,92.1817,DPDK,0.819804,0.204951,0.974898,0.00827596,0
96,92.4367,93.3427,DPDK,0.819673,0.204918,0.974826,0.00886739,0
97,144.7699,94.5484,DPDK,0.820549,0.205137,0.975228,0.00566795,0
98,173.0397,99.3569,DPDK,0.820809,0.205202,0.975261,0.00474347,0
99,183.6432,107.7305,DPDK,0.82089,0.205222,0.97527,0.00447003,0
100,204.849,118.008,DPDK,0.821038,0.205259,0.975294,0.00400801,0
101,243.3266,129.7704,DPDK,0.821271,0.205318,0.975313,0.00337518,0
102,205.1044,144.011,DPDK,0.821039,0.20526,0.975292,0.00400303,0
103,181.0352,154.8537,DPDK,0.82087,0.205218,0.975267,0.00453431,0
104,148.8819,160.5377,DPDK,0.820593,0.205148,0.975239,0.0055117,0
105,144.5472,159.9618,DPDK,0.820547,0.205137,0.975228,0.00567667,0
106,156.4461,155.5234,DPDK,0.820666,0.205166,0.975245,0.00524568,0
107,136.0037,150.182,DPDK,0.820448,0.205112,0.975158,0.00603254,0
108,130.8318,143.2411,DPDK,0.820382,0.205095,0.975111,0.00627051,0
109,107.8393,135.777,DPDK,0.819981,0.204995,0.974989,0.00760373,0
110,101.2424,127.0839,DPDK,0.81985,0.204962,0.974925,0.00809789,0
111,109.5398,118.2072,DPDK,0.820014,0.205003,0.974996,0.00748599,0
112,105.4792,110.814,DPDK,0.819935,0.204984,0.974964,0.00777343,0
113,114.6248,104.7683,DPDK,0.820108,0.205027,0.974997,0.00715472,0
114,111.964,100.8654,DPDK,0.820059,0.205015,0.974996,0.00732432,0
115,126.2999,98.4524,DPDK,0.820313,0.205078,0.975066,0.00649496,0
116,119.5982,98.254,DPDK,0.820197,0.205049,0.974996,0.00685793,0
117,153.5352,98.8825,DPDK,0.820639,0.20516,0.975244,0.00534496,0
118,168.0965,102.4637,DPDK,0.820769,0.205192,0.975255,0.00488273,0
119,139.9559,108.4196,DPDK,0.820496,0.205124,0.975189,0.00586253,0
120,176.5917,113.0033,DPDK,0.820837,0.205209,0.975262,0.00464822,0
121,160.7472,119.081,DPDK,0.820705,0.205176,0.97525,0.00510556,0
122,214.6936,124.0304,DPDK,0.821101,0.205275,0.975301,0.00382452,0
123,215.1798,131.9407,DPDK,0.821104,0.205276,0.975301,0.0038159,0
124,164.7841,140.5329,DPDK,0.820741,0.205185,0.975255,0.0049807,0
125,175.8148,144.5495,DPDK,0.820831,0.205208,0.975258,0.00466872,0
126,189.4203,146.4316,DPDK,0.820932,0.205233,0.975276,0.00433391,0
127,169.7101,147.7864,DPDK,0.820783,0.205196,0.975257,0.00483638,0
128,187.6143,147.0128,DPDK,0.820919,0.20523,0.975278,0.00437556,0
129,187.9461,146.5374,DPDK,0.820921,0.20523,0.975276,0.00436785,0
130,165.2744,146.164,DPDK,0.820745,0.205186,0.975252,0.00496595,0
131,216.0363,144.0646,DPDK,0.82111,0.205277,0.975303,0.00380079,0
132,231.2189,145.267,DPDK,0.821202,0.2053,0.975317,0.00355162,0
133,224.0286,149.1971,DPDK,0.821159,0.20529,0.97531,0.00366542,0
134,276.9538,153.5985,DPDK,0.821442,0.205361,0.975135,0.00296599,0
135,299.0991,162.0738,DPDK,0.821536,0.205384,0.974973,0.0027467,0
136,290.775,173.5078,DPDK,0.821502,0.205375,0.975031,0.00282521,0
137,319.2891,184.4448,DPDK,0.821615,0.205404,0.97483,0.00257326,0
138,306.7967,196.214,DPDK,0.821567,0.205392,0.974916,0.00267789,0
139,328.6642,205.6178,DPDK,0.821651,0.205413,0.974769,0.00249997,0
140,265.4052,214.4237,DPDK,0.821388,0.205347,0.975201,0.00309485,0
141,239.5913,215.9027,DPDK,0.82125,0.205312,0.975322,0.00342771,0
142,241.273,211.072,DPDK,0.821259,0.205315,0.975323,0.00340386,0
143,194.8154,203.416,DPDK,0.82097,0.205242,0.97528,0.00421409,0
144,155.0422,190.9592,DPDK,0.820653,0.205163,0.975243,0.00529309,0
145,162.7119,174.2008,DPDK,0.820723,0.205181,0.975251,0.00504402,0
146,150.3839,157.7958,DPDK,0.820609,0.205152,0.975239,0.00545676,0
147,140.6484,142.267,DPDK,0.820504,0.205126,0.975194,0.00583372,0
148,135.4528,128.1127,DPDK,0.820441,0.20511,0.975152,0.00605702,0
149,119.3241,115.7791,DPDK,0.820192,0.205048,0.974997,0.00687365,0
150,83.3117,104.8549,DPDK,0.819572,0.204893,0.97472,0.00983742,0
151,80.4055,93.0723,DPDK,0.81954,0.204885,0.974681,0.01019258,0
152,74.4896,82.169,OAI-1x,0.671691,0.167923,0.932805,0.00901724,0
153,54.7622,72.7356,OAI-1x,0.505404,0.126351,0.935271,0.00922906,0
154,59.223,63.7519,OAI-1x,0.54731,0.136827,0.935656,0.0092415,0
155,53.6189,56.5376,OAI-1x,0.49349,0.123373,0.935157,0.00920366,0
156,55.0654,51.1244,OAI-1x,0.508502,0.127126,0.935299,0.00923451,0
157,50.9517,47.593,OAI-1x,0.464686,0.116171,0.934869,0.00912013,0
158,49.9097,45.3928,OAI-1x,0.452664,0.113166,0.934722,0.00906965,0
159,33.6896,44.3334,OAI-1x,0.268096,0.067024,0.929744,0.00795782,0
160,36.1306,43.1546,OAI-1x,0.302328,0.075582,0.931263,0.00836763,0
161,94.3141,42.4568,OAI-1x,0.854276,0.213569,0.927872,0.00905778,0
162,69.6796,46.4922,OAI-1x,0.636448,0.159112,0.934053,0.00913391,0
163,40.3556,51.5662,OAI-1x,0.322544,0.080636,0.933259,0.00799256,0
164,47.7962,54.4887,OAI-1x,0.425722,0.106431,0.934417,0.00890703,0
165,29.732,56.6239,OAI-1x,0.227615,0.056904,0.927046,0.00765553,0
166,27.3872,56.8759,OAI-1x,0.228323,0.057081,0.925344,0.00833685,0
167,23.442,55.9732,OAI-1x,0.225225,0.056306,0.921925,0.00960776,0
168,22.6979,54.3913,OAI-1x,0.217354,0.054338,0.92119,0.00957594,0
169,38.3465,52.7342,OAI-1x,0.309543,0.077386,0.932594,0.00807228,0
170,26.6348,52.7586,OAI-1x,0.236428,0.059107,0.924786,0.00887668,0
171,28.0002,53.1263,OAI-1x,0.225217,0.056304,0.925804,0.00804339,0
172,46.2569,54.5124,OAI-1x,0.405092,0.101273,0.934176,0.00875744,0
173,47.4517,57.416,OAI-1x,0.421231,0.105308,0.934366,0.00887705,0
174,85.0479,61.1263,OAI-1x,0.768497,0.192124,0.929952,0.00903605,0
175,85.5247,66.8087,OAI-1x,0.773249,0.193312,0.929839,0.00904124,0
176,68.7847,73.0322,OAI-1x,0.62957,0.157392,0.934296,0.00915275,0
177,87.4398,77.7741,OAI-1x,0.791659,0.197915,0.929365,0.00905376,0
178,85.9296,82.6097,OAI-1x,0.777121,0.19428,0.929734,0.00904369,0
179,89.0544,87.3215,OAI-1x,0.806758,0.201689,0.928972,0.00905916,0
180,105.4352,91.4801,DPDK,0.819934,0.204984,0.974963,0.00777667,0
181,79.1319,95.8527,DPDK,0.819526,0.204881,0.974667,0.01035645,0
182,54.2197,98.01,DPDK,0.819185,0.204796,0.973094,0.01510864,0
183,61.1738,97.0054,DPDK,0.819294,0.204823,0.973862,0.01339289,0
184,70.5582,94.694,DPDK,0.819422,0.204856,0.974286,0.01161343,0
185,66.0616,92.4933,DPDK,0.819363,0.204841,0.974092,0.01240301,0
186,60.384,90.2775,OAI-1x,0.557276,0.139319,0.935737,0.00922886,0
187,75.4912,87.9085,OAI-1x,0.679186,0.169796,0.93251,0.00899689,0
188,69.3443,86.7837,OAI-1x,0.633867,0.158467,0.934148,0.00914088,0
189,60.485,86.096,OAI-1x,0.558134,0.139534,0.935743,0.00922765,0
190,85.607,85.1731,OAI-1x,0.774092,0.193523,0.929801,0.00904239,0
191,99.1235,85.7479,OAI-1x,0.899518,0.224879,0.92696,0.00907472,0
192,96.5079,88.1015,OAI-1x,0.874396,0.218599,0.927456,0.00906035,0
193,136.6252,91.169,DPDK,0.820456,0.205114,0.975158,0.00600516,0
194,165.2575,97.0567,DPDK,0.820745,0.205186,0.975257,0.00496646,0
195,201.2012,105.9907,DPDK,0.821013,0.205253,0.975288,0.00408056,0
196,186.8416,118.343,DPDK,0.820913,0.205228,0.975274,0.00439363,0
197,184.8816,130.097,DPDK,0.820899,0.205225,0.975269,0.00444013,0
198,196.5148,139.9163,DPDK,0.820981,0.205245,0.975284,0.00417771,0
199,166.4016,148.2475,DPDK,0.820755,0.205189,0.975255,0.00493237,0
200,159.7488,152.427,DPDK,0.820696,0.205174,0.975252,0.00513742,0
201,142.1477,153.0728,DPDK,0.82052,0.20513,0.975206,0.00577231,0
202,154.7196,150.1149,DPDK,0.82065,0.205162,0.975248,0.00530411,0
203,121.4509,146.3451,DPDK,0.820229,0.205057,0.975017,0.00675359,0
204,97.3637,139.8341,DPDK,0.819769,0.204942,0.974881,0.00841966,0
205,93.2971,130.7754,DPDK,0.819687,0.204922,0.974838,0.00878577,0
206,114.2983,121.0041,DPDK,0.820102,0.205026,0.974995,0.0071751,0
207,100.2348,113.3904,DPDK,0.819829,0.204957,0.974914,0.00817908,0
208,122.0044,106.7487,DPDK,0.820239,0.20506,0.975027,0.00672303,0
209,131.6181,103.0367,DPDK,0.820392,0.205098,0.97512,0.00623312,0
210,116.9332,102.0933,DPDK,0.82015,0.205037,0.974996,0.00701383,0
211,118.6201,101.811,DPDK,0.82018,0.205045,0.974995,0.00691434,0
212,135.9923,102.1146,DPDK,0.820448,0.205112,0.975157,0.00603305,0
213,147.0607,103.9948,DPDK,0.820574,0.205143,0.97524,0.00557983,0
214,138.8869,107.3735,DPDK,0.820484,0.205121,0.975177,0.00590757,0
215,133.8758,110.6401,DPDK,0.820421,0.205105,0.975138,0.00612823,0
216,152.9969,113.1154,DPDK,0.820634,0.205158,0.975242,0.00536373,0
217,156.4288,116.2662,DPDK,0.820666,0.205166,0.975246,0.00524626,0
218,169.4836,119.6672,DPDK,0.820781,0.205195,0.975257,0.00484284,0
219,163.7515,123.7841,DPDK,0.820732,0.205183,0.975252,0.00501206,0
220,158.6595,127.3614,DPDK,0.820686,0.205172,0.975248,0.00517263,0
221,137.433,129.8256,DPDK,0.820466,0.205116,0.975168,0.00596993,0
222,152.3701,129.7053,DPDK,0.820628,0.205157,0.97524,0.00538575,0
223,127.0126,129.2648,DPDK,0.820325,0.205081,0.975075,0.00645861,0
224,152.8206,126.6746,DPDK,0.820632,0.205158,0.975242,0.00536991,0
225,176.777,125.1315,DPDK,0.820838,0.20521,0.975261,0.00464335,0
226,192.8659,126.076,DPDK,0.820956,0.205239,0.97528,0.00425662,0
227,183.4236,129.532,DPDK,0.820888,0.205222,0.975269,0.00447537,0
228,184.9905,133.2619,DPDK,0.8209,0.205225,0.975271,0.00443752,0
229,187.2128,136.864,DPDK,0.820916,0.205229,0.975276,0.00438493,0
230,159.4889,140.0955,DPDK,0.820694,0.205173,0.97525,0.00514577,0
