step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,175.6878,,DPDK,0.82083,0.205207,0.975262,0.00467209,0
1,167.8186,,DPDK,0.820767,0.205192,0.975259,0.0048908,0
2,160.0994,,DPDK,0.820699,0.205175,0.975249,0.00512618,0
3,158.9883,,DPDK,0.820689,0.205172,0.975248,0.00516195,0
4,176.3784,,DPDK,0.820835,0.205209,0.97526,0.00465383,0
5,155.8834,,DPDK,0.820661,0.205165,0.975246,0.00526458,0
6,151.2222,,DPDK,0.820617,0.205154,0.975243,0.00542656,0
7,193.248,,DPDK,0.820959,0.20524,0.97528,0.00424821,0
8,171.1656,,DPDK,0.820794,0.205199,0.975257,0.00479532,0
9,263.7793,,DPDK,0.82138,0.205345,0.975208,0.00311389,0
10,205.6525,,DPDK,0.821043,0.205261,0.975294,0.00399238,0
11,211.1239,,DPDK,0.821078,0.20527,0.975295,0.00388908,0
12,228.6915,,DPDK,0.821187,0.205297,0.975312,0.0035908,0
13,277.7315,,DPDK,0.821446,0.205361,0.975126,0.0029577,0
14,230.9045,,DPDK,0.8212,0.2053,0.975315,0.00355645,0
15,217.4733,,DPDK,0.821118,0.20528,0.975301,0.00377572,0
16,198.654,,DPDK,0.820996,0.205249,0.975286,0.00413279,0
17,226.2371,,DPDK,0.821172,0.205293,0.97531,0.0036297,0
18,233.5007,,DPDK,0.821215,0.205304,0.975318,0.00351697,0
19,198.1498,,DPDK,0.820993,0.205248,0.975284,0.00414329,0
20,190.3638,,DPDK,0.820938,0.205235,0.975279,0.00431247,0
21,202.6382,,DPDK,0.821023,0.205256,0.975291,0.00405167,0
22,204.8867,,DPDK,0.821038,0.205259,0.975292,0.00400728,0
23,224.0076,,DPDK,0.821159,0.20529,0.975307,0.00366576,0
24,206.3333,,DPDK,0.821047,0.205262,0.975295,0.00397923,0
25,220.2234,,DPDK,0.821136,0.205284,0.975308,0.00372865,0
26,216.2631,,DPDK,0.821111,0.205278,0.975302,0.00379681,0
27,230.0412,,DPDK,0.821195,0.205299,0.975315,0.00356977,0
28,233.7276,,DPDK,0.821216,0.205304,0.975318,0.00351356,0
29,220.425,,DPDK,0.821137,0.205284,0.975308,0.00372524,0
30,218.2663,,DPDK,0.821123,0.205281,0.975304,0.00376202,0
31,209.714,,DPDK,0.821069,0.205267,0.975296,0.00391519,0
32,242.821,,DPDK,0.821268,0.205317,0.975318,0.00338219,0
33,234.8087,,DPDK,0.821222,0.205306,0.97532,0.00349741,0
34,250.9939,,DPDK,0.821313,0.205328,0.975271,0.00327224,0
35,251.5332,,DPDK,0.821316,0.205329,0.975272,0.00326524,0
36,270.5761,,DPDK,0.821414,0.205353,0.975172,0.0030358,0
37,323.4708,,DPDK,0.821631,0.205408,0.974801,0.00254005,0
38,364.1791,,DPDK,0.821776,0.205444,0.974484,0.00225651,0
39,332.8105,,DPDK,0.821666,0.205416,0.974741,0.00246887,0
40,365.7255,,DPDK,0.821781,0.205445,0.974467,0.00224699,0
41,302.6668,,DPDK,0.82155,0.205388,0.974946,0.00271437,0
42,331.9557,,DPDK,0.821663,0.205416,0.974748,0.00247522,0
43,336.0888,,DPDK,0.821678,0.205419,0.97472,0.00244482,0
44,309.2767,,DPDK,0.821577,0.205394,0.974896,0.00265645,0
45,295.2187,,DPDK,0.82152,0.20538,0.974999,0.00278275,0
46,275.668,,DPDK,0.821437,0.205359,0.975145,0.0029798,0
47,244.0287,,DPDK,0.821275,0.205319,0.975312,0.00336548,0
48,160.5314,,DPDK,0.820703,0.205176,0.975249,0.00511241,0
49,160.7113,,DPDK,0.820705,0.205176,0.975251,0.0051067,0
50,157.0701,,DPDK,0.820672,0.205168,0.975249,0.00522487,0
51,154.244,,DPDK,0.820645,0.205161,0.975244,0.00532044,0
52,136.8111,,DPDK,0.820458,0.205115,0.975161,0.00599701,0
53,126.435,,DPDK,0.820315,0.205079,0.975068,0.00648804,0
