step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,175.6878,,OAI-1x,1.607649,0.401912,0.918602,0.0091506,0
1,167.8186,,OAI-1x,1.535544,0.383886,0.918979,0.00915002,0
2,160.0994,,OAI-1x,1.465042,0.36626,0.919345,0.00915082,0
3,158.9883,,OAI-1x,1.454575,0.363644,0.919409,0.00914894,0
4,176.3784,,OAI-1x,1.613771,0.403443,0.918564,0.00914948,0
5,155.8834,,OAI-1x,1.425119,0.35628,0.919564,0.00914221,0
6,151.2222,,OAI-1x,1.37945,0.344863,0.919814,0.00912201,0
7,193.248,,OAI-1x,1.757313,0.439328,0.914549,0.00909356,0
8,171.1656,,OAI-1x,1.566573,0.391643,0.91879,0.00915238,0
9,263.7793,,OAI-1x,2.33932,0.58483,0.911937,0.00886848,0
10,205.6525,,OAI-1x,1.867476,0.466869,0.910794,0.00908074,0
11,211.1239,,OAI-1x,1.917687,0.479422,0.910694,0.00908323,0
12,228.6915,,OAI-1x,2.070541,0.517635,0.9111,0.00905386,0
13,277.7315,,OAI-1x,2.437201,0.6093,0.912311,0.00877539,0
14,230.9045,,OAI-1x,2.088602,0.522151,0.911158,0.00904531,0
15,217.4733,,OAI-1x,1.974972,0.493743,0.910838,0.00908144,0
16,198.654,,OAI-1x,1.801895,0.450474,0.912935,0.00907052,0
17,226.2371,,OAI-1x,2.050395,0.512599,0.911042,0.00906303,0
18,233.5007,,OAI-1x,2.109488,0.527372,0.911206,0.00903418,0
19,198.1498,,OAI-1x,1.797595,0.449399,0.913063,0.0090719,0
20,190.3638,,OAI-1x,1.733732,0.433433,0.915394,0.00910746,0
21,202.6382,,OAI-1x,1.839302,0.459825,0.911754,0.00907678,0
22,204.8867,,OAI-1x,1.860345,0.465086,0.911086,0.00907987,0
23,224.0076,,OAI-1x,2.031703,0.507926,0.910998,0.00906979,0
24,206.3333,,OAI-1x,1.873617,0.468404,0.910561,0.00908054,0
25,220.2234,,OAI-1x,1.999181,0.499795,0.910898,0.00907797,0
26,216.2631,,OAI-1x,1.964189,0.491047,0.910815,0.0090824,0
27,230.0412,,OAI-1x,2.081661,0.520415,0.911125,0.00904908,0
28,233.7276,,OAI-1x,2.111318,0.52783,0.911221,0.00903324,0
29,220.425,,OAI-1x,2.001005,0.500251,0.910918,0.00907794,0
30,218.2663,,OAI-1x,1.981941,0.495485,0.910871,0.00908038,0
31,209.714,,OAI-1x,1.904965,0.476241,0.91066,0.00908363,0
32,242.821,,OAI-1x,2.182926,0.545731,0.911414,0.00898986,0
33,234.8087,,OAI-1x,2.120097,0.530024,0.911239,0.00902904,0
34,250.9939,,OAI-1x,2.245041,0.56126,0.911591,0.00894461,0
35,251.5332,,OAI-1x,2.249002,0.562251,0.911591,0.00894118,0
36,270.5761,,OAI-1x,2.387593,0.596898,0.912113,0.00882411,0
37,323.4708,,OAI-1x,2.726879,0.68172,0.91338,0.00843006,0
38,364.1791,,OAI-1x,2.952137,0.738034,0.91421,0.00810628,0
39,332.8105,,OAI-1x,2.781071,0.695268,0.913582,0.00835632,0
40,365.7255,,OAI-1x,2.960298,0.740074,0.914197,0.00809431,0
41,302.6668,,OAI-1x,2.600596,0.650149,0.912899,0.00859227,0
42,331.9557,,OAI-1x,2.776089,0.694022,0.913587,0.00836283,0
43,336.0888,,OAI-1x,2.799603,0.699901,0.913672,0.00832995,0
44,309.2767,,OAI-1x,2.641659,0.660415,0.913078,0.00854141,0
45,295.2187,,OAI-1x,2.553201,0.6383,0.912734,0.00864851,0
46,275.668,,OAI-1x,2.423011,0.605753,0.912249,0.0087896,0
47,244.0287,,OAI-1x,2.192187,0.548047,0.911434,0.00898332,0
48,160.5314,,OAI-1x,1.4691,0.367275,0.919333,0.00915147,0
49,160.7113,,OAI-1x,1.470755,0.367689,0.919313,0.00915153,0
50,157.0701,,OAI-1x,1.436412,0.359103,0.919507,0.00914504,0
51,154.244,,OAI-1x,1.40931,0.352327,0.919651,0.00913688,0
52,136.8111,,OAI-1x,1.246445,0.311611,0.920608,0.0091107,0
53,126.435,,OAI-1x,1.156258,0.289064,0.921268,0.00914508,0
54,98.2447,,OAI-1x,0.89087,0.222718,0.927124,0.00906787,0
55,83.8802,,OAI-1x,0.756682,0.18917,0.930254,0.00902098,0
56,85.4356,,OAI-1x,0.772318,0.193079,0.929842,0.00903977,0
57,65.6384,,OAI-1x,0.604456,0.151114,0.935159,0.00920889,0
58,62.175,,OAI-1x,0.574004,0.143501,0.935861,0.00923207,0
59,61.9114,,OAI-1x,0.571408,0.142852,0.935846,0.00922945,0
60,65.1291,,OAI-1x,0.600112,0.150028,0.935304,0.00921419,0
61,38.7057,,OAI-1x,0.309798,0.077449,0.932818,0.00800393,0
62,40.4218,,OAI-1x,0.323489,0.080872,0.933276,0.00800283,0
63,30.9273,,OAI-1x,0.231116,0.057779,0.927885,0.00747287,0
64,30.0752,,OAI-1x,0.228101,0.057025,0.927277,0.00758435,0
65,24.1078,,OAI-1x,0.236029,0.059007,0.922559,0.00979058,0
66,24.7302,,OAI-1x,0.247835,0.061959,0.923136,0.01002154,0
67,21.1243,,OAI-1x,0.199914,0.049979,0.920701,0.00946371,0
68,23.1005,,OAI-1x,0.221649,0.055412,0.921584,0.00959499,0
69,32.1962,,OAI-1x,0.248607,0.062152,0.928749,0.00772163,0
70,42.0981,,OAI-1x,0.346093,0.086523,0.933529,0.00822111,0
71,39.2225,,OAI-1x,0.310146,0.077536,0.933081,0.00790734,0
72,27.1649,,OAI-1x,0.230746,0.057686,0.925172,0.00849427,0
73,34.4753,,OAI-1x,0.281959,0.07049,0.930246,0.00817858,0
74,25.9351,,OAI-1x,0.244143,0.061036,0.924206,0.00941365,0
75,29.5807,,OAI-1x,0.227365,0.056841,0.926935,0.00768626,0
76,47.9984,,OAI-1x,0.428393,0.107098,0.934444,0.00892515,0
77,70.4939,,OAI-1x,0.642528,0.160632,0.933848,0.00911466,0
78,90.0655,,OAI-1x,0.815845,0.203961,0.928727,0.00905835,0
79,83.1271,,OAI-1x,0.748926,0.187232,0.930447,0.00900941,0
