step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,174.1346,136.1597,DPDK,0.820818,0.205204,0.975259,0.0047137,0
1,169.1899,139.4973,DPDK,0.820779,0.205195,0.975256,0.00485123,0
2,155.0941,142.101,DPDK,0.820653,0.205163,0.975243,0.00529133,0
3,156.9,142.8528,DPDK,0.82067,0.205168,0.975249,0.00523053,0
4,170.8652,142.462,DPDK,0.820792,0.205198,0.975257,0.00480374,0
5,143.4113,142.38,DPDK,0.820534,0.205134,0.975215,0.00572154,0
6,148.1124,140.2431,DPDK,0.820585,0.205146,0.975237,0.00554028,0
7,171.9625,137.5244,DPDK,0.820801,0.2052,0.975259,0.00477314,0
8,181.1067,136.4782,DPDK,0.820871,0.205218,0.975268,0.00453253,0
9,160.5096,137.0856,DPDK,0.820703,0.205176,0.975249,0.00511311,0
10,167.8029,136.92,DPDK,0.820767,0.205192,0.975259,0.00489126,0
11,188.3569,136.8737,DPDK,0.820924,0.205231,0.975273,0.00435834,0
12,181.0237,138.3947,DPDK,0.82087,0.205218,0.975266,0.0045346,0
13,183.3621,139.9448,DPDK,0.820888,0.205222,0.975269,0.00447687,0
14,184.8817,141.4973,DPDK,0.820899,0.205225,0.975269,0.00444013,0
15,193.5861,142.904,DPDK,0.820961,0.20524,0.975282,0.00424081,0
16,189.1825,144.6799,DPDK,0.82093,0.205232,0.975276,0.00433935,0
17,191.0788,146.0334,DPDK,0.820943,0.205236,0.975276,0.00429636,0
18,183.858,147.0747,DPDK,0.820891,0.205223,0.975271,0.00446481,0
19,201.921,147.182,DPDK,0.821018,0.205255,0.97529,0.00406604,0
20,207.4583,148.1311,DPDK,0.821055,0.205264,0.975292,0.00395769,0
21,196.9836,149.7642,DPDK,0.820985,0.205246,0.975283,0.00416778,0
22,195.9092,150.6958,DPDK,0.820977,0.205244,0.975284,0.0041906,0
23,200.8338,151.0213,DPDK,0.821011,0.205253,0.975286,0.00408801,0
24,201.1487,151.2885,DPDK,0.821013,0.205253,0.975289,0.00408162,0
25,198.7017,151.4369,DPDK,0.820996,0.205249,0.975286,0.0041318,0
26,213.8288,151.2584,DPDK,0.821096,0.205274,0.975304,0.00383997,0
27,226.5056,152.0892,DPDK,0.821174,0.205293,0.975312,0.0036254,0
28,221.5277,154.3292,DPDK,0.821144,0.205286,0.975304,0.00370673,0
29,198.6782,156.6044,DPDK,0.820996,0.205249,0.975286,0.00413229,0
30,200.2032,156.7636,DPDK,0.821006,0.205252,0.975288,0.00410086,0
31,196.9173,155.8643,DPDK,0.820984,0.205246,0.975284,0.00416918,0
32,194.3996,154.1306,DPDK,0.820967,0.205242,0.975278,0.00422309,0
33,188.0832,151.8678,DPDK,0.820922,0.20523,0.975277,0.00436467,0
34,190.1319,149.0622,DPDK,0.820937,0.205234,0.975278,0.00431772,0
35,188.3669,146.3794,DPDK,0.820924,0.205231,0.975273,0.00435811,0
36,187.5207,143.9549,DPDK,0.820918,0.205229,0.975275,0.00437775,0
37,194.2436,141.8531,DPDK,0.820966,0.205241,0.975281,0.00422647,0
38,206.0753,140.7313,DPDK,0.821046,0.205261,0.975294,0.0039842,0
39,172.4381,141.2226,DPDK,0.820804,0.205201,0.975261,0.00476,0
40,176.4129,139.8403,DPDK,0.820835,0.205209,0.975261,0.00465292,0
41,202.9047,137.9966,DPDK,0.821025,0.205256,0.97529,0.00404636,0
42,189.9872,138.1988,DPDK,0.820936,0.205234,0.975278,0.004321,0
43,192.8106,138.4111,DPDK,0.820956,0.205239,0.97528,0.00425784,0
44,178.0412,138.8974,DPDK,0.820848,0.205212,0.975266,0.00461044,0
45,181.9374,138.3113,DPDK,0.820877,0.205219,0.975269,0.00451186,0
46,170.9235,137.5348,DPDK,0.820793,0.205198,0.975257,0.0048021,0
47,176.1114,135.8548,DPDK,0.820833,0.205208,0.975264,0.00466087,0
48,163.2879,134.2978,DPDK,0.820728,0.205182,0.975251,0.00502626,0
49,136.538,131.9714,DPDK,0.820455,0.205114,0.975157,0.00600898,0
50,121.6379,127.4415,DPDK,0.820233,0.205058,0.97502,0.00674323,0
51,110.1131,120.9837,DPDK,0.820025,0.205006,0.974994,0.00744711,0
52,101.6607,113.1764,DPDK,0.819858,0.204965,0.974926,0.00806466,0
53,91.3719,104.6795,DPDK,0.819656,0.204914,0.974816,0.00897055,0
54,78.7891,96.4121,DPDK,0.819522,0.20488,0.974654,0.01040146,0
55,122.9474,88.1906,OAI-1x,1.124286,0.281072,0.921683,0.00914445,0
56,64.556,84.4625,OAI-1x,0.595175,0.148794,0.935472,0.00921951,0
57,55.9939,79.2877,OAI-1x,0.517988,0.129497,0.935381,0.00925081,0
58,42.9538,73.4492,OAI-1x,0.358397,0.089599,0.933653,0.00834379,0
59,45.8177,66.8669,OAI-1x,0.399091,0.099773,0.934117,0.0087104,0
60,37.1916,61.0022,OAI-1x,0.308767,0.077192,0.931894,0.00830204,0
61,32.0118,55.5798,OAI-1x,0.245445,0.061361,0.928624,0.00766732,0
62,38.7552,50.8839,OAI-1x,0.309852,0.077463,0.932859,0.0079951,0
63,27.2935,47.8799,OAI-1x,0.229339,0.057335,0.925278,0.0084027,0
64,25.1009,45.5757,OAI-1x,0.249147,0.062287,0.923472,0.00992584,0
65,20.3969,43.8867,OAI-1x,0.203015,0.050754,0.920774,0.00995325,0
66,18.2498,42.6123,OAI-1x,0.195096,0.048774,0.9211,0.01069031,0
67,21.277,41.7924,OAI-1x,0.201666,0.050417,0.920667,0.00947812,0
68,20.9883,42.1759,OAI-1x,0.19839,0.049598,0.920715,0.00945242,0
69,17.5191,43.2992,OAI-1x,0.188408,0.047102,0.921208,0.01075441,0
70,18.1529,45.3127,OAI-1x,0.194214,0.048554,0.921114,0.0106988,0
71,20.4949,47.8146,OAI-1x,0.201877,0.050469,0.920771,0.0098501,0
72,20.9021,50.8146,OAI-1x,0.197451,0.049363,0.92072,0.00944645,0
73,20.8128,54.1976,OAI-1x,0.198439,0.04961,0.920721,0.00953451,0
74,28.0136,57.6896,OAI-1x,0.225223,0.056306,0.92582,0.00803977,0
75,55.6088,61.3817,OAI-1x,0.51406,0.128515,0.935359,0.00924422,0
76,71.6458,66.0884,OAI-1x,0.651099,0.162775,0.933539,0.00908776,0
77,105.2021,71.8281,OAI-1x,0.95885,0.239713,0.92586,0.00911436,0
78,133.9254,78.8044,OAI-1x,1.222093,0.305523,0.920789,0.00912517,0
79,137.0649,87.3311,OAI-1x,1.248528,0.312132,0.920577,0.00910903,0
80,124.8973,96.5702,DPDK,0.820289,0.205072,0.975056,0.00656771,0
81,133.3556,106.1424,DPDK,0.820414,0.205104,0.975132,0.00615208,0
82,128.5099,114.3526,DPDK,0.82035,0.205088,0.975089,0.00638356,0
83,167.5113,120.2518,DPDK,0.820764,0.205191,0.975256,0.00489975,0
84,159.7867,127.0633,DPDK,0.820696,0.205174,0.975251,0.0051362,0
85,121.4516,132.7749,DPDK,0.820229,0.205057,0.975017,0.00675355,0
86,105.9405,134.23,DPDK,0.819944,0.204986,0.974968,0.00773967,0
87,124.8052,131.8915,DPDK,0.820288,0.205072,0.975055,0.00657254,0
88,117.0624,128.9349,DPDK,0.820152,0.205038,0.974996,0.00700611,0
89,106.369,125.3778,DPDK,0.819953,0.204988,0.974973,0.00770857,0
90,106.8269,120.9588,DPDK,0.819962,0.20499,0.974978,0.00767561,0
91,111.8515,116.5251,DPDK,0.820057,0.205014,0.974996,0.00733166,0
92,116.1159,112.8906,DPDK,0.820135,0.205034,0.974996,0.00706307,0
93,108.5559,110.3687,DPDK,0.819995,0.204999,0.974995,0.00755367,0
94,124.0964,108.1893,DPDK,0.820275,0.205069,0.975045,0.00660999,0
95,117.6789,107.5755,DPDK,0.820163,0.205041,0.974999,0.0069695,0
96,136.9277,107.409,DPDK,0.82046,0.205115,0.975163,0.00599192,0
97,148.811,108.9216,DPDK,0.820592,0.205148,0.97524,0.00551432,0
98,147.7875,112.0598,DPDK,0.820581,0.205145,0.975236,0.00555244,0
99,161.1739,115.6865,DPDK,0.820709,0.205177,0.97525,0.00509207,0
100,181.2155,120.1588,DPDK,0.820872,0.205218,0.97527,0.00452981,0
101,168.6992,126.0571,DPDK,0.820775,0.205194,0.975254,0.00486531,0
102,164.7582,131.0801,DPDK,0.820741,0.205185,0.975256,0.00498149,0
103,161.0826,134.6909,DPDK,0.820708,0.205177,0.975251,0.00509495,0
104,147.1553,136.7121,DPDK,0.820575,0.205144,0.975239,0.00557625,0
105,145.3807,136.4621,DPDK,0.820556,0.205139,0.975231,0.00564419,0
106,147.3772,134.7953,DPDK,0.820577,0.205144,0.975239,0.00556787,0
107,162.003,132.568,DPDK,0.820716,0.205179,0.975251,0.00506605,0
108,140.8648,131.3185,DPDK,0.820506,0.205127,0.975194,0.00582478,0
109,121.1671,129.0768,DPDK,0.820224,0.205056,0.975017,0.00676936,0
110,133.983,125.0803,DPDK,0.820422,0.205106,0.975138,0.00612333,0
111,145.6321,121.4977,DPDK,0.820558,0.20514,0.975232,0.00563446,0
112,163.6269,119.3564,DPDK,0.820731,0.205183,0.975252,0.00501587,0
113,157.1475,119.6118,DPDK,0.820672,0.205168,0.97525,0.00522231,0
114,159.4329,120.6873,DPDK,0.820693,0.205173,0.975252,0.00514758,0
115,166.5311,122.3111,DPDK,0.820756,0.205189,0.975256,0.00492855,0
116,171.6695,124.5941,DPDK,0.820798,0.2052,0.97526,0.00478127,0
117,192.5944,127.3437,DPDK,0.820954,0.205239,0.975279,0.00426261,0
118,202.501,131.6409,DPDK,0.821022,0.205255,0.97529,0.00405441,0
119,205.9639,137.0319,DPDK,0.821045,0.205261,0.975293,0.00398635,0
120,202.4733,142.6648,DPDK,0.821022,0.205255,0.97529,0.00405496,0
121,195.68,147.4532,DPDK,0.820976,0.205244,0.975281,0.0041955,0
122,200.4611,150.6011,DPDK,0.821008,0.205252,0.97529,0.0040956,0
