step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,174.1346,,DPDK,0.820818,0.205204,0.975259,0.0047137,0
1,169.1899,,DPDK,0.820779,0.205195,0.975256,0.00485123,0
2,155.0941,,DPDK,0.820653,0.205163,0.975243,0.00529133,0
3,156.9,,DPDK,0.82067,0.205168,0.975249,0.00523053,0
4,170.8652,,DPDK,0.820792,0.205198,0.975257,0.00480374,0
5,143.4113,,DPDK,0.820534,0.205134,0.975215,0.00572154,0
6,148.1124,,DPDK,0.820585,0.205146,0.975237,0.00554028,0
7,171.9625,,DPDK,0.820801,0.2052,0.975259,0.00477314,0
8,181.1067,,DPDK,0.820871,0.205218,0.975268,0.00453253,0
9,160.5096,,DPDK,0.820703,0.205176,0.975249,0.00511311,0
10,167.8029,,DPDK,0.820767,0.205192,0.975259,0.00489126,0
11,188.3569,,DPDK,0.820924,0.205231,0.975273,0.00435834,0
12,181.0237,,DPDK,0.82087,0.205218,0.975266,0.0045346,0
13,183.3621,,DPDK,0.820888,0.205222,0.975269,0.00447687,0
14,184.8817,,DPDK,0.820899,0.205225,0.975269,0.00444013,0
15,193.5861,,DPDK,0.820961,0.20524,0.975282,0.00424081,0
16,189.1825,,DPDK,0.82093,0.205232,0.975276,0.00433935,0
17,191.0788,,DPDK,0.820943,0.205236,0.975276,0.00429636,0
18,183.858,,DPDK,0.820891,0.205223,0.975271,0.00446481,0
19,201.921,,DPDK,0.821018,0.205255,0.97529,0.00406604,0
20,207.4583,,DPDK,0.821055,0.205264,0.975292,0.00395769,0
21,196.9836,,DPDK,0.820985,0.205246,0.975283,0.00416778,0
22,195.9092,,DPDK,0.820977,0.205244,0.975284,0.0041906,0
23,200.8338,,DPDK,0.821011,0.205253,0.975286,0.00408801,0
24,201.1487,,DPDK,0.821013,0.205253,0.975289,0.00408162,0
25,198.7017,,DPDK,0.820996,0.205249,0.975286,0.0041318,0
26,213.8288,,DPDK,0.821096,0.205274,0.975304,0.00383997,0
27,226.5056,,DPDK,0.821174,0.205293,0.975312,0.0036254,0
28,221.5277,,DPDK,0.821144,0.205286,0.975304,0.00370673,0
29,198.6782,,DPDK,0.820996,0.205249,0.975286,0.00413229,0
30,200.2032,,DPDK,0.821006,0.205252,0.975288,0.00410086,0
31,196.9173,,DPDK,0.820984,0.205246,0.975284,0.00416918,0
32,194.3996,,DPDK,0.820967,0.205242,0.975278,0.00422309,0
33,188.0832,,DPDK,0.820922,0.20523,0.975277,0.00436467,0
34,190.1319,,DPDK,0.820937,0.205234,0.975278,0.00431772,0
35,188.3669,,DPDK,0.820924,0.205231,0.975273,0.00435811,0
36,187.5207,,DPDK,0.820918,0.205229,0.975275,0.00437775,0
37,194.2436,,DPDK,0.820966,0.205241,0.975281,0.00422647,0
38,206.0753,,DPDK,0.821046,0.205261,0.975294,0.0039842,0
39,172.4381,,DPDK,0.820804,0.205201,0.975261,0.00476,0
40,176.4129,,DPDK,0.820835,0.205209,0.975261,0.00465292,0
41,202.9047,,DPDK,0.821025,0.205256,0.97529,0.00404636,0
42,189.9872,,DPDK,0.820936,0.205234,0.975278,0.004321,0
43,192.8106,,DPDK,0.820956,0.205239,0.97528,0.00425784,0
44,178.0412,,DPDK,0.820848,0.205212,0.975266,0.00461044,0
45,181.9374,,DPDK,0.820877,0.205219,0.975269,0.00451186,0
46,170.9235,,DPDK,0.820793,0.205198,0.975257,0.0048021,0
47,176.1114,,DPDK,0.820833,0.205208,0.975264,0.00466087,0
48,163.2879,,DPDK,0.820728,0.205182,0.975251,0.00502626,0
49,136.538,,DPDK,0.820455,0.205114,0.975157,0.00600898,0
50,121.6379,,DPDK,0.820233,0.205058,0.97502,0.00674323,0
51,110.1131,,DPDK,0.820025,0.205006,0.974994,0.00744711,0
52,101.6607,,DPDK,0.819858,0.204965,0.974926,0.00806466,0
53,91.3719,,DPDK,0.819656,0.204914,0.974816,0.00897055,0
54,78.7891,,DPDK,0.819522,0.20488,0.974654,0.01040146,0
55,122.9474,,DPDK,0.820256,0.205064,0.975037,0.0066716,0
56,64.556,,DPDK,0.819342,0.204836,0.974023,0.01269195,0
57,55.9939,,DPDK,0.819214,0.204804,0.973329,0.01463043,0
58,42.9538,,DPDK,0.818985,0.204746,0.971598,0.01906665,0
59,45.8177,,DPDK,0.819035,0.204759,0.971968,0.01787594,0
60,37.1916,,DPDK,0.818961,0.20474,0.970553,0.02202004,0
61,32.0118,,DPDK,0.818943,0.204736,0.969269,0.02558254,0
62,38.7552,,DPDK,0.818967,0.204742,0.970895,0.02113179,0
63,27.2935,,DPDK,0.818923,0.204731,0.967731,0.03000432,0
64,25.1009,,DPDK,0.818913,0.204728,0.966903,0.03262489,0
65,20.3969,,DPDK,0.818887,0.204722,0.96537,0.04014762,0
66,18.2498,,DPDK,0.818874,0.204718,0.964399,0.04487039,0
67,21.277,,DPDK,0.818892,0.204723,0.965652,0.03848715,0
68,20.9883,,DPDK,0.818891,0.204723,0.96556,0.03901656,0
69,17.5191,,DPDK,0.818869,0.204717,0.96389,0.04674145,0
70,18.1529,,DPDK,0.818873,0.204718,0.964332,0.0451098,0
71,20.4949,,DPDK,0.818888,0.204722,0.965402,0.0399556,0
72,20.9021,,DPDK,0.81889,0.204723,0.965531,0.03917735,0
73,20.8128,,DPDK,0.81889,0.204722,0.965504,0.03934555,0
74,28.0136,,DPDK,0.818926,0.204732,0.967984,0.02923319,0
75,55.6088,,DPDK,0.819208,0.204802,0.973282,0.01473163,0
76,71.6458,,DPDK,0.819436,0.204859,0.974338,0.01143733,0
77,105.2021,,DPDK,0.81993,0.204982,0.974963,0.00779385,0
78,133.9254,,DPDK,0.820422,0.205105,0.975138,0.00612596,0
79,137.0649,,DPDK,0.820461,0.205115,0.975162,0.00598593,0
80,124.8973,,DPDK,0.820289,0.205072,0.975056,0.00656771,0
81,133.3556,,DPDK,0.820414,0.205104,0.975132,0.00615208,0
82,128.5099,,DPDK,0.82035,0.205088,0.975089,0.00638356,0
83,167.5113,,DPDK,0.820764,0.205191,0.975256,0.00489975,0
84,159.7867,,DPDK,0.820696,0.205174,0.975251,0.0051362,0
85,121.4516,,DPDK,0.820229,0.205057,0.975017,0.00675355,0
86,105.9405,,DPDK,0.819944,0.204986,0.974968,0.00773967,0
87,124.8052,,DPDK,0.820288,0.205072,0.975055,0.00657254,0
88,117.0624,,DPDK,0.820152,0.205038,0.974996,0.00700611,0
89,106.369,,DPDK,0.819953,0.204988,0.974973,0.00770857,0
90,106.8269,,DPDK,0.819962,0.20499,0.974978,0.00767561,0
91,111.8515,,DPDK,0.820057,0.205014,0.974996,0.00733166,0
92,116.1159,,DPDK,0.820135,0.205034,0.974996,0.00706307,0
93,108.5559,,DPDK,0.819995,0.204999,0.974995,0.00755367,0
94,124.0964,,DPDK,0.820275,0.205069,0.975045,0.00660999,0
95,117.6789,,DPDK,0.820163,0.205041,0.974999,0.0069695,0
