step,actual_traffic_mbps,predicted_traffic_mbps,upf_config,power_w,energy_wh,qos,sec,qos_violation
0,174.1346,,OAI-1x,1.59349,0.398373,0.918648,0.00915091,0
1,169.1899,,OAI-1x,1.548364,0.387091,0.918893,0.00915163,0
2,155.0941,,OAI-1x,1.417497,0.354374,0.91962,0.00913959,0
3,156.9,,OAI-1x,1.43476,0.35869,0.919517,0.00914442,0
4,170.8652,,OAI-1x,1.563884,0.390971,0.918833,0.00915273,0
5,143.4113,,OAI-1x,1.304241,0.32606,0.920189,0.00909441,0
6,148.1124,,OAI-1x,1.348342,0.337085,0.920006,0.0091035,0
7,171.9625,,OAI-1x,1.573956,0.393489,0.918764,0.0091529,0
8,181.1067,,OAI-1x,1.655434,0.413859,0.918182,0.00914066,0
9,160.5096,,OAI-1x,1.468804,0.367201,0.919334,0.00915088,0
10,167.8029,,OAI-1x,1.535444,0.383861,0.918986,0.00915028,0
11,188.3569,,OAI-1x,1.716972,0.429243,0.916017,0.00911553,0
12,181.0237,,OAI-1x,1.654529,0.413632,0.918173,0.00913985,0
13,183.3621,,OAI-1x,1.674779,0.418695,0.917554,0.00913373,0
14,184.8817,,OAI-1x,1.68783,0.421957,0.9171,0.00912924,0
15,193.5861,,OAI-1x,1.760163,0.440041,0.914424,0.0090924,0
16,189.1825,,OAI-1x,1.723927,0.430982,0.915734,0.00911251,0
17,191.0788,,OAI-1x,1.739524,0.434881,0.915171,0.0091037,0
18,183.858,,OAI-1x,1.678982,0.419746,0.917404,0.00913195,0
19,201.921,,OAI-1x,1.832587,0.458147,0.911973,0.00907576,0
20,207.4583,,OAI-1x,1.884081,0.47102,0.910596,0.00908174,0
21,196.9836,,OAI-1x,1.787495,0.446874,0.913405,0.00907434,0
22,195.9092,,OAI-1x,1.77889,0.444722,0.913737,0.00908018,0
23,200.8338,,OAI-1x,1.822275,0.455569,0.912301,0.00907355,0
24,201.1487,,OAI-1x,1.825267,0.456317,0.912195,0.00907422,0
25,198.7017,,OAI-1x,1.802292,0.450573,0.912908,0.00907034,0
26,213.8288,,OAI-1x,1.942402,0.485601,0.910758,0.00908391,0
27,226.5056,,OAI-1x,2.052427,0.513107,0.911056,0.00906126,0
28,221.5277,,OAI-1x,2.010579,0.502645,0.910937,0.00907597,0
29,198.6782,,OAI-1x,1.802082,0.45052,0.912928,0.00907035,0
30,200.2032,,OAI-1x,1.816328,0.454082,0.91247,0.00907242,0
31,196.9173,,OAI-1x,1.786985,0.446746,0.913418,0.0090748,0
32,194.3996,,OAI-1x,1.766787,0.441697,0.914164,0.00908843,0
33,188.0832,,OAI-1x,1.714712,0.428678,0.916097,0.00911677,0
34,190.1319,,OAI-1x,1.731796,0.432949,0.91547,0.00910839,0
35,188.3669,,OAI-1x,1.717091,0.429273,0.916006,0.00911568,0
36,187.5207,,OAI-1x,1.710113,0.427528,0.916258,0.0091196,0
37,194.2436,,OAI-1x,1.76546,0.441365,0.91423,0.00908889,0
38,206.0753,,OAI-1x,1.871371,0.467843,0.910606,0.00908101,0
