Exp,Config,Seed,Trace,E_tot,SEC,v,n_sw,n_sc,n_bl
A1,mlp_forecast,seed_456,Main,123.45,0.007474,0.0014,16,33,79
A1,mlp_forecast,seed_456,YouTube,125.741,0.008017,0.0,16,30,79
A1,mlp_history,seed_456,Main,122.207,0.007388,0.0014,20,15,29
A1,mlp_history,seed_456,YouTube,124.049,0.007785,0.0,19,12,26
A1,mlp_hybrid,seed_456,Main,120.79,0.00735,0.0014,18,7,3
A1,mlp_hybrid,seed_456,YouTube,123.826,0.007803,0.0,17,7,1
A1,mlp_instant,seed_456,Main,121.031,0.007374,0.0014,24,4,36
A1,mlp_instant,seed_456,YouTube,122.119,0.007719,0.0,30,3,50
A1,lstm_forecast,seed_456,Main,147.792,0.013528,0.0,0,0,0
A1,lstm_forecast,seed_456,YouTube,147.78,0.015205,0.0,0,0,0
A1,lstm_history,seed_456,Main,125.744,0.007641,0.0014,16,0,7
A1,lstm_history,seed_456,YouTube,127.455,0.007935,0.0,25,0,27
A1,lstm_hybrid,seed_456,Main,132.383,0.010073,0.0042,14,11,20
A1,lstm_hybrid,seed_456,YouTube,136.637,0.012748,0.0,14,4,23
A1,lstm_instant,seed_456,Main,147.792,0.013528,0.0,0,0,0
A1,lstm_instant,seed_456,YouTube,147.78,0.015205,0.0,0,0,0
B1,mlp_hybrid,seed_42,Main,122.934,0.007603,0.0028,18,4,9
B1,mlp_hybrid,seed_42,YouTube,125.424,0.007974,0.0055,16,8,8
B1,mlp_hybrid,seed_123,Main,122.321,0.00756,0.0014,14,11,4
B1,mlp_hybrid,seed_123,YouTube,126.311,0.008087,0.0,14,8,6
B1,mlp_hybrid,seed_456,Main,120.79,0.00735,0.0014,18,7,3
B1,mlp_hybrid,seed_456,YouTube,123.826,0.007803,0.0,17,7,1
B1,mlp_hybrid,seed_789,Main,121.978,0.007284,0.0097,22,8,20
B1,mlp_hybrid,seed_789,YouTube,122.117,0.007432,0.0166,22,8,28
B1,mlp_hybrid,seed_1024,Main,124.87,0.007603,0.0014,12,23,24
B1,mlp_hybrid,seed_1024,YouTube,124.67,0.007809,0.0,13,23,31
B1,lstm_history,seed_42,Main,122.109,0.007409,0.0083,38,10,54
B1,lstm_history,seed_42,YouTube,121.794,0.007479,0.0166,41,8,69
B1,lstm_history,seed_123,Main,133.999,0.010257,0.0014,18,6,27
B1,lstm_history,seed_123,YouTube,136.379,0.012781,0.0,8,3,13
B1,lstm_history,seed_456,Main,125.744,0.007641,0.0014,16,0,7
B1,lstm_history,seed_456,YouTube,127.455,0.007935,0.0,25,0,27
B1,lstm_history,seed_789,Main,122.711,0.007489,0.0097,14,7,21
B1,lstm_history,seed_789,YouTube,124.371,0.007606,0.0166,14,7,15
B1,lstm_history,seed_1024,Main,121.905,0.007398,0.0097,14,6,5
B1,lstm_history,seed_1024,YouTube,123.837,0.007575,0.0166,14,4,4
C1,cd0_k2,seed_456,Main,120.28,0.007184,0.0097,36,10,0
C1,cd0_k2,seed_456,YouTube,122.195,0.007394,0.0166,29,10,0
C1,cd2_k2,seed_456,Main,121.429,0.007445,0.0014,18,7,5
C1,cd2_k2,seed_456,YouTube,123.577,0.007807,0.0014,14,7,0
C1,cd4_k1,seed_456,Main,123.323,0.00749,0.0014,20,0,3
C1,cd4_k1,seed_456,YouTube,124.264,0.007821,0.0,17,0,0
C1,cd4_k2,seed_456,Main,120.79,0.00735,0.0014,18,7,3
C1,cd4_k2,seed_456,YouTube,123.826,0.007803,0.0,17,7,1
C1,cd8_k2,seed_456,Main,121.542,0.007324,0.0042,18,22,90
C1,cd8_k2,seed_456,YouTube,125.783,0.007864,0.0,21,20,93
D1,mlp_hybrid_cd4_k1_t90,seed_456,Main,123.323,0.00749,0.0014,20,0,3
D1,mlp_hybrid_cd4_k1_t90,seed_456,YouTube,124.264,0.007821,0.0,17,0,0
D1,mlp_hybrid_cd4_k1_t95,seed_456,Main,129.485,0.008842,0.0014,12,0,0
D1,mlp_hybrid_cd4_k1_t95,seed_456,YouTube,136.972,0.012824,0.0,8,0,0
D1,mlp_hybrid_cd4_k2_t90,seed_456,Main,120.79,0.00735,0.0014,18,7,3
D1,mlp_hybrid_cd4_k2_t90,seed_456,YouTube,123.826,0.007803,0.0,17,7,1
D1,mlp_hybrid_cd4_k2_t95,seed_456,Main,122.76,0.007582,0.0014,18,1,9
D1,mlp_hybrid_cd4_k2_t95,seed_456,YouTube,126.326,0.007949,0.0,15,2,3
D1,lstm_history_cd4_k1_t90,seed_456,Main,121.803,0.007469,0.0014,14,0,2
D1,lstm_history_cd4_k1_t90,seed_456,YouTube,121.909,0.007741,0.0,14,0,0
D1,lstm_history_cd4_k1_t95,seed_456,Main,127.939,0.008208,0.0014,14,0,0
D1,lstm_history_cd4_k1_t95,seed_456,YouTube,137.306,0.012897,0.0,8,0,0
D1,lstm_history_cd4_k2_t90,seed_456,Main,125.744,0.007641,0.0014,16,0,7
D1,lstm_history_cd4_k2_t90,seed_456,YouTube,127.455,0.007935,0.0,25,0,27
D1,lstm_history_cd4_k2_t95,seed_456,Main,123.912,0.007704,0.0014,16,0,7
D1,lstm_history_cd4_k2_t95,seed_456,YouTube,122.781,0.007829,0.0,14,0,12
