Exp,Config,Seed,E_tot,SEC,v,n_sw,n_sc,n_bl
A1,mlp_forecast,seed_456,123.45,0.007474,0.0014,16,33,79
A1,mlp_history,seed_456,122.207,0.007388,0.0014,20,15,29
A1,mlp_hybrid,seed_456,120.79,0.00735,0.0014,18,7,3
A1,mlp_instant,seed_456,121.031,0.007374,0.0014,24,4,36
A1,lstm_forecast,seed_456,147.792,0.013528,0.0,0,0,0
A1,lstm_history,seed_456,125.744,0.007641,0.0014,16,0,7
A1,lstm_hybrid,seed_456,132.383,0.010073,0.0042,14,11,20
A1,lstm_instant,seed_456,147.792,0.013528,0.0,0,0,0
B1,mlp_hybrid,seed_42,122.934,0.007603,0.0028,18,4,9
B1,mlp_hybrid,seed_123,122.321,0.00756,0.0014,14,11,4
B1,mlp_hybrid,seed_456,120.79,0.00735,0.0014,18,7,3
B1,mlp_hybrid,seed_789,121.978,0.007284,0.0097,22,8,20
B1,mlp_hybrid,seed_1024,124.87,0.007603,0.0014,12,23,24
B1,lstm_history,seed_42,122.109,0.007409,0.0083,38,10,54
B1,lstm_history,seed_123,133.999,0.010257,0.0014,18,6,27
B1,lstm_history,seed_456,125.744,0.007641,0.0014,16,0,7
B1,lstm_history,seed_789,122.711,0.007489,0.0097,14,7,21
B1,lstm_history,seed_1024,121.905,0.007398,0.0097,14,6,5
C1,cd0_k2,seed_456,120.28,0.007184,0.0097,36,10,0
C1,cd2_k2,seed_456,121.429,0.007445,0.0014,18,7,5
C1,cd4_k1,seed_456,123.323,0.00749,0.0014,20,0,3
C1,cd4_k2,seed_456,120.79,0.00735,0.0014,18,7,3
C1,cd8_k2,seed_456,121.542,0.007324,0.0042,18,22,90
D1,mlp_hybrid_cd4_k1_t90,seed_456,123.323,0.00749,0.0014,20,0,3
D1,mlp_hybrid_cd4_k1_t95,seed_456,129.485,0.008842,0.0014,12,0,0
D1,mlp_hybrid_cd4_k2_t90,seed_456,120.79,0.00735,0.0014,18,7,3
D1,mlp_hybrid_cd4_k2_t95,seed_456,122.76,0.007582,0.0014,18,1,9
D1,lstm_history_cd4_k1_t90,seed_456,121.803,0.007469,0.0014,14,0,2
D1,lstm_history_cd4_k1_t95,seed_456,127.939,0.008208,0.0014,14,0,0
D1,lstm_history_cd4_k2_t90,seed_456,125.744,0.007641,0.0014,16,0,7
D1,lstm_history_cd4_k2_t95,seed_456,123.912,0.007704,0.0014,16,0,7
