Exp,Config,Seed,E_tot,SEC,v,n_sw,n_sc,n_bl
A1,mlp_forecast,seed_456,125.741,0.008017,0.0,16,30,79
A1,mlp_history,seed_456,124.049,0.007785,0.0,19,12,26
A1,mlp_hybrid,seed_456,123.826,0.007803,0.0,17,7,1
A1,mlp_instant,seed_456,122.119,0.007719,0.0,30,3,50
A1,lstm_forecast,seed_456,147.78,0.015205,0.0,0,0,0
A1,lstm_history,seed_456,127.455,0.007935,0.0,25,0,27
A1,lstm_hybrid,seed_456,136.637,0.012748,0.0,14,4,23
A1,lstm_instant,seed_456,147.78,0.015205,0.0,0,0,0
B1,mlp_hybrid,seed_42,125.424,0.007974,0.0055,16,8,8
B1,mlp_hybrid,seed_123,126.311,0.008087,0.0,14,8,6
B1,mlp_hybrid,seed_456,123.826,0.007803,0.0,17,7,1
B1,mlp_hybrid,seed_789,122.117,0.007432,0.0166,22,8,28
B1,mlp_hybrid,seed_1024,124.67,0.007809,0.0,13,23,31
B1,lstm_history,seed_42,121.794,0.007479,0.0166,41,8,69
B1,lstm_history,seed_123,136.379,0.012781,0.0,8,3,13
B1,lstm_history,seed_456,127.455,0.007935,0.0,25,0,27
B1,lstm_history,seed_789,124.371,0.007606,0.0166,14,7,15
B1,lstm_history,seed_1024,123.837,0.007575,0.0166,14,4,4
C1,cd0_k2,seed_456,122.195,0.007394,0.0166,29,10,0
C1,cd2_k2,seed_456,123.577,0.007807,0.0014,14,7,0
C1,cd4_k1,seed_456,124.264,0.007821,0.0,17,0,0
C1,cd4_k2,seed_456,123.826,0.007803,0.0,17,7,1
C1,cd8_k2,seed_456,125.783,0.007864,0.0,21,20,93
D1,mlp_hybrid_cd4_k1_t90,seed_456,124.264,0.007821,0.0,17,0,0
D1,mlp_hybrid_cd4_k1_t95,seed_456,136.972,0.012824,0.0,8,0,0
D1,mlp_hybrid_cd4_k2_t90,seed_456,123.826,0.007803,0.0,17,7,1
D1,mlp_hybrid_cd4_k2_t95,seed_456,126.326,0.007949,0.0,15,2,3
D1,lstm_history_cd4_k1_t90,seed_456,121.909,0.007741,0.0,14,0,0
D1,lstm_history_cd4_k1_t95,seed_456,137.306,0.012897,0.0,8,0,0
D1,lstm_history_cd4_k2_t90,seed_456,127.455,0.007935,0.0,25,0,27
D1,lstm_history_cd4_k2_t95,seed_456,122.781,0.007829,0.0,14,0,12
